rollout/return_history,obs_rms_mean,total/steps,total/epochs,rollout/episodes,ret_rms_std,ret_rms_mean,rollout/episode_steps,total/duration,reference_actor_Q_mean,eval/return,train/loss_critic,train/param_noise_distance,eval/return_history,train/loss_actor,rollout/Q_mean,reference_Q_mean,rollout/actions_std,eval/Q,eval/episodes,total/steps_per_second,rollout/return,total/episodes,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_std,reference_Q_std,reference_action_mean
200.78876886354027,0.16984368860721588,35000,35,35.0,1.0,0.0,1000.0,1146.5258722305298,174.428466796875,577.5895352744938,23.229454040527344,0.0,307.1192602724752,-178.84254455566406,92.44956970214844,172.8668212890625,0.7057285904884338,180.83042907714844,35.0,30.527004097961267,200.78876886354027,35.0,0.834754467010498,0.0019144127145409584,3.9843685626983643,2.641629695892334,3.8273956775665283,0.04330955073237419
207.3749332601267,0.17142589390277863,36000,36,36.0,1.0,0.0,1000.0,1179.1793251037598,176.1856689453125,597.6392095229979,17.649885177612305,0.0,315.1892588627675,-180.50259399414062,94.9729995727539,174.85227966308594,0.706738293170929,184.58035278320312,36.0,30.529707597130948,207.3749332601267,36.0,0.8094817399978638,0.006432564463466406,3.9185314178466797,2.643073320388794,3.7961018085479736,-0.04305100440979004
207.66649196573533,0.17067795991897583,37000,37,37.0,1.0,0.0,1000.0,1211.9049139022827,176.7860107421875,507.1090537691227,32.82463836669922,0.0,320.37628034672304,-181.57723999023438,97.34168243408203,175.57403564453125,0.707276463508606,184.58517456054688,37.0,30.530448037265202,207.66649196573533,37.0,0.8260825872421265,-0.0008062206907197833,4.631901264190674,2.6478724479675293,4.417006015777588,0.005760021507740021
206.08716478121093,0.17250937223434448,38000,38,38.0,1.0,0.0,1000.0,1244.6074845790863,179.91331481933594,446.40860617634974,11.526995658874512,0.0,323.6929205001343,-183.7290802001953,99.65435791015625,178.59213256835938,0.7085311412811279,187.45974731445312,38.0,30.531714191684472,206.08716478121093,38.0,0.7886404395103455,0.0055084070190787315,4.047410011291504,2.652956008911133,3.8215086460113525,0.05118401348590851
208.4850634936012,0.17337952554225922,39000,39,39.0,1.0,0.0,1000.0,1277.223645210266,181.51123046875,398.6979890346229,13.223954200744629,0.0,325.616127385634,-184.84178161621094,101.90390014648438,180.43943786621094,0.7086313962936401,188.09046936035156,39.0,30.534981204156715,208.4850634936012,39.0,0.7855253219604492,0.005835661664605141,3.6172068119049072,2.651838779449463,3.5815460681915283,0.11788348108530045
213.709811749783,0.17324985563755035,40000,40,40.0,1.0,0.0,1000.0,1309.8305170536041,182.6005859375,715.3350401876835,13.683444023132324,0.0,335.3591002056852,-185.69313049316406,104.04828643798828,181.3153533935547,0.7093111872673035,188.9375762939453,40.0,30.538302077415274,213.709811749783,40.0,0.8153733611106873,0.0018387031741440296,2.9168317317962646,2.65507435798645,2.6451141834259033,0.1653098613023758
221.79689737486035,0.17319735884666443,41000,41,41.0,1.0,0.0,1000.0,1342.5078492164612,182.85049438476562,543.3208013225786,10.319439888000488,0.0,340.4313368182923,-186.2027130126953,106.09950256347656,181.71519470214844,0.7088534832000732,188.46115112304688,41.0,30.539858686062182,221.79689737486035,41.0,0.8000375032424927,-0.0004413091519381851,2.7843775749206543,2.658737897872925,2.642827033996582,0.17195820808410645
227.97291952578763,0.17378082871437073,42000,42,42.0,1.0,0.0,1000.0,1375.524834394455,183.08718872070312,613.4473228286198,29.685991287231445,0.0,346.93171743758586,-186.55369567871094,108.05612182617188,182.18836975097656,0.7089020013809204,189.49961853027344,42.0,30.53379986300981,227.97291952578763,42.0,0.8296276330947876,-0.00013279469567351043,3.09578275680542,2.6586928367614746,3.007680654525757,-0.00042219460010528564
230.5942105926715,0.17353327572345734,43000,43,43.0,1.0,0.0,1000.0,1408.9622840881348,183.69635009765625,674.1875934741096,13.697892189025879,0.0,354.5423192058771,-188.06524658203125,109.95065307617188,182.58340454101562,0.7086231708526611,191.86766052246094,43.0,30.51891486778096,230.5942105926715,43.0,0.807616651058197,-0.00366491312161088,3.718809127807617,2.6561763286590576,3.6659066677093506,0.038522783666849136
236.2563761155188,0.17417199909687042,44000,44,44.0,1.0,0.0,1000.0,1442.3186736106873,185.76229858398438,719.7576530896363,29.6286678314209,0.0,362.8426677032353,-189.62359619140625,111.80908203125,184.52432250976562,0.7106062769889832,193.0578155517578,44.0,30.506434399723055,236.2563761155188,44.0,0.8035374879837036,-0.005130565259605646,3.720104217529297,2.6542770862579346,3.5401554107666016,0.14747045934200287
236.66803878555277,0.17508724331855774,45000,45,45.0,1.0,0.0,1000.0,1477.2901368141174,187.0836181640625,648.9413867429296,19.900453567504883,0.0,369.20041701522854,-190.52671813964844,113.5784683227539,185.76144409179688,0.7116587162017822,193.1016082763672,45.0,30.461179478965278,236.66803878555277,45.0,0.8354834914207458,-0.0030775463674217463,3.04764461517334,2.664006233215332,2.8029656410217285,0.11068493127822876
240.33317728632264,0.1757497638463974,46000,46,46.0,1.0,0.0,1000.0,1511.4687566757202,187.4564971923828,725.9602583866309,13.769953727722168,0.0,376.9560657406938,-191.49085998535156,115.30697631835938,186.1503143310547,0.7112909555435181,194.9099884033203,46.0,30.433973442607602,240.33317728632264,46.0,0.8345510959625244,-0.002062820130959153,3.3333637714385986,2.6671547889709473,3.0501105785369873,0.14313851296901703
242.53256608303857,0.17616112530231476,47000,47,47.0,1.0,0.0,1000.0,1544.145813703537,187.95599365234375,677.8982811717931,29.080894470214844,0.0,383.35909160093,-192.0990753173828,116.96978759765625,186.743408203125,0.7121790647506714,195.2884979248047,47.0,30.437540019147185,242.53256608303857,47.0,0.8352037072181702,-0.0029437991324812174,3.9070591926574707,2.6733508110046387,3.798351764678955,0.15122906863689423
247.74471568845237,0.17645035684108734,48000,48,48.0,1.0,0.0,1000.0,1576.8971123695374,189.24288940429688,734.3943562063504,13.327779769897461,0.0,390.67232628020946,-193.0447998046875,118.59403991699219,188.0087432861328,0.7125470042228699,196.29510498046875,48.0,30.4395255869753,247.74471568845237,48.0,0.8408491015434265,-0.00608087657019496,3.534142017364502,2.679043769836426,3.4043123722076416,0.2332707792520523
257.33423413074945,0.17732034623622894,49000,49,49.0,1.0,0.0,1000.0,1610.3619260787964,188.92776489257812,859.2090980569646,16.866371154785156,0.0,400.2343012144289,-192.9907684326172,120.17430877685547,187.60426330566406,0.7135780453681946,196.60321044921875,49.0,30.42794244354383,257.33423413074945,49.0,0.7874457240104675,-0.006492011249065399,3.541466236114502,2.6853294372558594,3.5034353733062744,0.15873660147190094
261.65926119205034,0.17752492427825928,50000,50,50.0,1.0,0.0,1000.0,1643.530547618866,188.07553100585938,78.77516013089168,19.218189239501953,0.0,393.8051183927582,-192.7588653564453,121.6711196899414,187.33961486816406,0.7137621641159058,189.18077087402344,50.0,30.42231254687636,261.65926119205034,50.0,0.7867339253425598,-0.009821238927543163,3.611133098602295,2.6911661624908447,3.549201726913452,0.024216076359152794
