rollout/episodes,ret_rms_mean,reference_actor_Q_std,total/episodes,train/loss_actor,reference_perturbed_action_mean,reference_action_mean,eval/return_history,reference_Q_std,reference_perturbed_action_std,rollout/actions_mean,train/param_noise_distance,total/duration,total/epochs,param_noise_stddev,ret_rms_std,obs_rms_mean,reference_actor_Q_mean,rollout/Q_mean,eval/episodes,total/steps,rollout/episode_steps,reference_Q_mean,obs_rms_std,eval/Q,reference_action_std,rollout/return_history,eval/return,rollout/return,train/loss_critic,rollout/actions_std,total/steps_per_second
6957.0,0.0,769.8034057617188,6957.0,-1440.0673828125,0.1539248675107956,0.1473761945962906,863.6899511606031,724.0416259765625,0.895479142665863,0.18431377410888672,0.20091037452220917,12833.232780456543,834,0.012580215599082718,1.0,1.9690498113632202,903.7255859375,942.7724609375,834.0,834000,119.86617795026592,825.67529296875,6.143807411193848,1727.956298828125,0.9060749411582947,842.2213638872641,932.1276073407104,567.3781005431013,8123.8173828125,0.8191714286804199,64.98752218303721
6963.0,0.0,773.5872192382812,6963.0,-1450.1156005859375,0.12826374173164368,0.12553051114082336,864.2931734023991,731.7325439453125,0.9008401036262512,0.18432112038135529,0.21818159520626068,12848.802944898605,835,0.012833077932624282,1.0,1.9690052270889282,914.2830200195312,943.5733032226562,835.0,835000,119.9062185839437,841.4320678710938,6.143868446350098,1506.3067626953125,0.8985030651092529,832.3113497113701,767.960724319885,567.5940676432332,7816.466796875,0.8191673755645752,64.98659864120044
6968.0,0.0,788.794677734375,6968.0,-1466.9185791015625,0.18449455499649048,0.21659941971302032,867.5864320073847,741.576171875,0.8895799517631531,0.18427547812461853,0.18628504872322083,12864.949275970459,836,0.012332335652468109,1.0,1.968941330909729,941.9527587890625,944.5364379882812,836.0,836000,119.96182548794489,862.7239990234375,6.143540382385254,1781.9022216796875,0.8847422003746033,832.6853237101757,1112.7117559396434,567.8795813093802,8587.1142578125,0.8191766738891602,64.98276690149926
6975.0,0.0,787.2272338867188,6975.0,-1487.442626953125,0.16349095106124878,0.19455088675022125,868.6205268181583,738.8768920898438,0.8955256938934326,0.18440771102905273,0.20572936534881592,12881.244895219803,837,0.012580215599082718,1.0,1.9690876007080078,929.962890625,945.0130615234375,837.0,837000,119.9978494623656,854.520263671875,6.144400596618652,1780.9495849609375,0.8882929086685181,827.4598769422081,1190.0558680294394,568.0510092948188,8207.3203125,0.8191958069801331,64.97819168942348
6980.0,0.0,792.592529296875,6980.0,-1472.06884765625,0.18132174015045166,0.16544775664806366,867.5550583118882,747.6299438476562,0.8961872458457947,0.1844310462474823,0.19792881608009338,12897.0730946064,838,0.012332335652468109,1.0,1.96906316280365,936.7537841796875,945.7461547851562,838.0,838000,120.0448424068768,862.3195190429688,6.145199298858643,1767.77197265625,0.8980029225349426,816.1799059963727,870.2260789411303,568.2680839824912,7904.7216796875,0.8192160725593567,64.97598283369074
6983.0,0.0,790.2584838867188,6983.0,-1444.7230224609375,0.1374386101961136,0.11301997303962708,870.3223181401765,741.02392578125,0.9072446227073669,0.18442659080028534,0.2012544721364975,12913.313288450241,839,0.01208933992007461,1.0,1.9690515995025635,930.0509643554688,946.7177734375,839.0,839000,120.14034082772447,851.47412109375,6.144820213317871,1827.3905029296875,0.9113206267356873,850.2314005501797,1130.5626034228917,568.7346898216289,9275.0419921875,0.8191985487937927,64.97170642877592
6989.0,0.0,786.9580078125,6989.0,-1465.399169921875,0.14687812328338623,0.1516350954771042,870.2739270946289,739.9388427734375,0.9023252129554749,0.18440783023834229,0.20615337789058685,12928.937260627747,840,0.01208933992007461,1.0,1.9689353704452515,927.5350341796875,947.4697265625,840.0,840000,120.18200028616397,852.212890625,6.145829677581787,1591.5655517578125,0.8940469622612,831.750770879217,813.0682268552996,568.9572675497399,8949.33203125,0.8192070722579956,64.97053725815783
6995.0,0.0,792.3728637695312,6995.0,-1451.364501953125,0.2532171308994293,0.24486932158470154,867.7243489770804,748.3165283203125,0.8843575119972229,0.18444019556045532,0.18068285286426544,12944.565395116806,841,0.012332335652468109,1.0,1.9689184427261353,932.88134765625,948.1407470703125,841.0,841000,120.2181558255897,859.3519897460938,6.146012783050537,1623.9373779296875,0.8848679065704346,833.4685174194233,833.7668077557895,569.1550877370554,8501.400390625,0.8192158341407776,64.96935001906344
7001.0,0.0,796.3650512695312,7001.0,-1471.8504638671875,0.2061050683259964,0.19136106967926025,866.1854641706245,751.0184936523438,0.8994284868240356,0.18449515104293823,0.19723372161388397,12960.062858581543,842,0.01208933992007461,1.0,1.9689662456512451,946.02734375,948.8366088867188,842.0,842000,120.2659620054278,871.7191772460938,6.146273136138916,1327.2491455078125,0.9007741212844849,848.00055525435,707.3384748492368,569.3896378641615,8360.2060546875,0.8192406892776489,64.96882069074745
7002.0,0.0,777.0960693359375,7002.0,-1488.76513671875,0.10336758196353912,0.050420794636011124,873.0165748432894,733.4724731445312,0.9151202440261841,0.18450075387954712,0.22659654915332794,12976.769380807877,843,0.012833077932624282,1.0,1.96895432472229,933.2154541015625,949.9198608398438,843.0,843000,120.30248500428449,864.2025146484375,6.146072864532471,1793.24853515625,0.9111290574073792,853.035406758895,1291.2026164060812,569.5746339776165,9109.19921875,0.8192332983016968,64.96223946514479
