ret_rms_std,train/param_noise_distance,total/epochs,rollout/episode_steps,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,total/steps,rollout/return,param_noise_stddev,obs_rms_mean,rollout/Q_mean,train/loss_critic,obs_rms_std,total/duration,train/loss_actor,reference_action_std,eval/return,total/episodes,total/steps_per_second,eval/episodes,reference_Q_std,reference_actor_Q_mean,rollout/episodes,eval/Q,rollout/return_history,eval/return_history,reference_perturbed_action_mean,reference_Q_mean,rollout/actions_std,reference_action_mean,reference_actor_Q_std
1.0,0.18266049027442932,301,1000.0,0.0,0.11680436134338379,0.7845988273620605,301000,772.9679739889918,0.021962663920618616,0.10721565783023834,202.8551025390625,72.95818328857422,2.618276596069336,5468.455152750015,-247.33665466308594,0.7666085362434387,1394.0053937518956,301.0,55.04296763751112,301.0,8.480780601501465,247.0443572998047,301.0,263.51910400390625,1005.1319498362406,1136.2756944497792,-0.012348353862762451,244.20188903808594,0.6840190291404724,-0.1263113170862198,3.412418842315674
1.0,0.1782589852809906,302,1000.0,0.0,0.1165192723274231,0.7569254040718079,302000,775.4763958463939,0.022854436146078055,0.10726971179246902,203.05606079101562,94.61904907226562,2.6191391944885254,5486.718623161316,-246.5906982421875,0.7330451607704163,1130.5935223632484,302.0,55.04200611366413,302.0,19.104816436767578,245.94277954101562,302.0,260.9079895019531,1008.6781617732252,1135.8641559744174,-0.09256301075220108,243.2461395263672,0.6839867234230042,-0.06140740215778351,10.519787788391113
1.0,0.21709062159061432,303,1000.0,0.0,0.11643493920564651,0.7643807530403137,303000,776.8055675716586,0.02240411346542305,0.10734078288078308,203.25149536132812,81.42303466796875,2.6192657947540283,5504.944243192673,-246.0712890625,0.7632107138633728,1479.8492825984888,303.0,55.041429415871924,303.0,20.063220977783203,246.155029296875,303.0,262.5372314453125,1009.6411232623477,1137.9301068066331,-0.1138325035572052,242.88470458984375,0.6839473843574524,-0.05918975546956062,8.415606498718262
1.0,0.19273057579994202,304,1000.0,0.0,0.11644094437360764,0.778323769569397,304000,779.2979392273563,0.021962663920618616,0.10748913139104843,203.4518280029297,48.1605339050293,2.6194190979003906,5523.270558595657,-246.20054626464844,0.786840558052063,1034.4894924298496,304.0,55.03985306801534,304.0,8.732708930969238,247.06674194335938,304.0,260.88568115234375,1014.8617870377664,1137.3097454879087,-0.23549695312976837,244.5403289794922,0.6838650703430176,-0.24944503605365753,3.243035078048706
1.0,0.1818789839744568,305,1000.0,0.0,0.11625883728265762,0.8032811284065247,305000,778.2660176123297,0.02240411346542305,0.10733281821012497,203.62193298339844,70.07164764404297,2.620542526245117,5541.618535757065,-246.24114990234375,0.8040838241577148,1217.4910673691088,305.0,55.03807200585896,305.0,7.83020544052124,246.66455078125,305.0,259.9854431152344,1008.086644816374,1138.3397785658206,-0.1557055562734604,244.6081085205078,0.6837722659111023,-0.1640474945306778,4.099297523498535
1.0,0.1905091404914856,306,1000.0,0.0,0.11594153195619583,0.8218278884887695,306000,779.502811731246,0.023313810312614227,0.10745218396186829,203.80377197265625,59.890201568603516,2.621258497238159,5560.100743770599,-247.14752197265625,0.7952489852905273,1567.266440791172,306.0,55.03497402323778,306.0,7.579832077026367,244.73548889160156,306.0,264.1312561035156,1007.1022124498663,1146.650461584798,-0.032068949192762375,242.87693786621094,0.6838405728340149,-0.10155580192804337,2.6763224601745605
1.0,0.18477293848991394,307,1000.0,0.0,0.1158701479434967,0.8196980953216553,307000,780.5370306036424,0.022854436146078055,0.10760996490716934,203.98098754882812,108.27974700927734,2.6223878860473633,5578.3728284835815,-246.6293182373047,0.8099201917648315,1402.129069292093,307.0,55.03396948164444,307.0,5.101285457611084,247.15000915527344,307.0,263.352294921875,1006.3166999002465,1148.7384606464004,-0.0646967887878418,245.16473388671875,0.6840419769287109,-0.10208525508642197,2.189974546432495
1.0,0.20171859860420227,308,1000.0,0.0,0.11578992754220963,0.8229316473007202,308000,781.9542357076182,0.021962663920618616,0.10767257213592529,204.17288208007812,65.52926635742188,2.622302770614624,5596.728143692017,-246.61473083496094,0.8096533417701721,1329.7469743397369,308.0,55.03215308879026,308.0,9.446365356445312,247.81689453125,308.0,261.177001953125,1009.0033631896686,1149.9682761700963,-0.039662618190050125,245.3394012451172,0.6839831471443176,-0.057252734899520874,3.2950782775878906
1.0,0.228128582239151,309,1000.0,0.0,0.11573930829763412,0.7843494415283203,309000,782.7798274860277,0.021962663920618616,0.1078120619058609,204.3519744873047,70.67064666748047,2.624467372894287,5615.055832862854,-248.8939971923828,0.797513484954834,1359.5762695561891,309.0,55.03061932020992,309.0,2.421142816543579,249.93951416015625,309.0,264.5810852050781,1010.2623219478972,1150.1817044564807,-0.11422207951545715,247.965576171875,0.6842135787010193,-0.09897613525390625,1.852620244026184
1.0,0.1986578404903412,310,1000.0,0.0,0.11518841236829758,0.7538383603096008,310000,783.7666665263363,0.02240411346542305,0.10772106796503067,204.53883361816406,71.94469451904297,2.6246583461761475,5633.300016880035,-248.0272674560547,0.7715755701065063,1354.7724756868095,310.0,55.02991125469852,310.0,6.902717113494873,249.08160400390625,310.0,264.5342102050781,1010.7980000194729,1151.2636373405744,-0.015977749601006508,246.60646057128906,0.6840373873710632,-0.012450546026229858,2.5054421424865723
