total/duration,reference_perturbed_action_mean,rollout/actions_std,rollout/return_history,train/param_noise_distance,reference_actor_Q_std,rollout/episode_steps,reference_Q_std,rollout/actions_mean,eval/return,total/steps_per_second,eval/return_history,total/epochs,eval/Q,ret_rms_mean,param_noise_stddev,total/steps,reference_action_mean,reference_actor_Q_mean,eval/episodes,ret_rms_std,train/loss_critic,reference_perturbed_action_std,rollout/return,rollout/episodes,train/loss_actor,reference_Q_mean,rollout/Q_mean,obs_rms_std,reference_action_std,total/episodes,obs_rms_mean
1136.7749001979828,0.15978071093559265,0.6457269787788391,542.3633973180876,0.19672615826129913,3.528543472290039,1000.0,3.576616048812866,-0.05953942984342575,709.0741934531668,19.352995915170577,489.202779900298,22,325.92974853515625,0.0,0.025245515830755405,22000,0.13113562762737274,321.23382568359375,22.0,1.0,56.12446594238281,0.6588056087493896,542.3633973180876,22.0,-324.7255554199219,319.28466796875,161.82293701171875,1.8634328842163086,0.6413467526435852,22.0,0.04179007187485695
1182.4920506477356,0.09062361717224121,0.6514431238174438,545.1770472340661,0.17643383145332336,4.603886127471924,1000.0,4.516585350036621,-0.05703866481781006,-70.2469362349819,19.450447880306047,464.8788791987641,23,305.17755126953125,0.0,0.023782417899897774,23000,0.1811131238937378,334.34442138671875,23.0,1.0,48.49824142456055,0.7488715648651123,545.1770472340661,23.0,-336.4986267089844,331.50067138671875,168.6042938232422,1.8780547380447388,0.7190670371055603,23.0,0.044083885848522186
1239.943461894989,0.18926428258419037,0.6522917151451111,581.3176736112194,0.22612586617469788,4.3086395263671875,1000.0,4.502810001373291,-0.05507097765803337,845.7279309082662,19.355721238548345,480.7475896866599,24,347.86627197265625,0.0,0.023313810312614227,24000,0.12154854089021683,352.548828125,24.0,1.0,54.58363342285156,0.7147928476333618,581.3176736112194,24.0,-353.1629638671875,349.820068359375,176.67062377929688,1.8975962400436401,0.6921316981315613,24.0,0.04498574137687683
1289.745979309082,-0.08898276835680008,0.6639273762702942,542.21530866361,0.1976390928030014,5.579006195068359,1000.0,5.42221212387085,-0.05026114359498024,826.5208462597857,19.38366190014604,494.578519949585,25,382.9130554199219,0.0,0.02426044449968572,25000,-0.05364246666431427,365.88751220703125,25.0,1.0,98.48889923095703,0.6814662218093872,542.21530866361,25.0,-365.46661376953125,363.2845764160156,181.59364318847656,2.0245466232299805,0.7174843549728394,25.0,0.050620537251234055
1341.899448633194,-0.09909889847040176,0.6622152328491211,563.2147132869012,0.18887603282928467,5.681726455688477,1000.0,5.473471164703369,-0.049642179161310196,1081.9023127293754,19.37552029437271,517.1678965949615,26,398.7094421386719,0.0,0.02575295069895359,26000,-0.09388915449380875,378.74237060546875,26.0,1.0,103.91117095947266,0.7430704236030579,563.2147132869012,26.0,-378.790283203125,376.5289306640625,189.70724487304688,2.0193233489990234,0.7312227487564087,26.0,0.050647564232349396
1397.612565279007,-0.15354378521442413,0.6632089018821716,568.3495047034166,0.21184828132390976,5.58072566986084,1000.0,5.371752738952637,-0.050655096769332886,-539.2263426861481,19.318658597355956,478.0421840289945,27,318.8506774902344,0.0,0.025245515830755405,27000,-0.049673888832330704,388.1033020019531,27.0,1.0,58.16957473754883,0.7491330504417419,568.3495047034166,27.0,-389.61187744140625,386.14251708984375,197.44830322265625,2.0168094635009766,0.7574112415313721,27.0,0.04916290566325188
1442.0756783485413,0.007059392984956503,0.6770066618919373,532.604713058038,0.23417949676513672,5.275854110717773,1000.0,4.868010997772217,-0.04820571094751358,-363.0656989033274,19.416456723037918,448.0026167814116,28,340.4151611328125,0.0,0.026798623766663407,28000,-0.02565903402864933,402.26141357421875,28.0,1.0,96.36331939697266,0.7501630783081055,532.604713058038,28.0,-397.5395202636719,399.6885681152344,201.83892822265625,2.00250244140625,0.7326196432113647,28.0,0.053771011531353
1486.6948292255402,0.04594644904136658,0.6904309988021851,494.56930725562756,0.19817760586738586,4.657662868499756,1000.0,4.424579620361328,-0.04680493101477623,967.8518163500925,19.50635694018448,465.9284512492971,29,428.7423400878906,0.0,0.02575295069895359,29000,0.041058894246816635,415.91192626953125,29.0,1.0,63.3436393737793,0.7195870280265808,494.56930725562756,29.0,-402.9258728027344,413.42242431640625,205.2594757080078,1.9840960502624512,0.7309343218803406,29.0,0.05803769826889038
1531.0495219230652,0.06173957884311676,0.6876554489135742,514.0452893700335,0.16914231330156326,4.403693675994873,1000.0,4.020122051239014,-0.04642810299992561,79.38445288322241,19.59440212117939,453.0436513037613,30,388.837158203125,0.0,0.025245515830755405,30000,0.031832341104745865,422.530517578125,30.0,1.0,56.92604064941406,0.708153486251831,514.0452893700335,30.0,-411.4540710449219,419.96575927734375,212.88690185546875,1.9853373765945435,0.7177822589874268,30.0,0.05739731341600418
1576.1348977088928,0.0028355990070849657,0.6906654834747314,506.77770069842154,0.2158845141530037,3.736314535140991,1000.0,3.772016763687134,-0.0375245027244091,-282.582536697479,19.668367247665373,429.3137742714632,31,356.037841796875,0.0,0.02575295069895359,31000,-0.1840546876192093,428.3567199707031,31.0,1.0,106.5312271118164,0.7373202443122864,506.77770069842154,31.0,-415.6824951171875,425.95343017578125,218.86891174316406,1.9876599311828613,0.751878023147583,31.0,0.059308044612407684
