eval/Q,train/loss_critic,param_noise_stddev,rollout/actions_std,reference_Q_std,obs_rms_std,obs_rms_mean,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,reference_perturbed_action_std,total/steps,rollout/return,reference_actor_Q_mean,total/steps_per_second,rollout/episode_steps,rollout/return_history,reference_action_mean,ret_rms_std,reference_Q_mean,reference_perturbed_action_mean,total/episodes,train/loss_actor,eval/return,total/epochs,total/duration,eval/episodes,eval/return_history,rollout/Q_mean,rollout/episodes,ret_rms_mean,reference_action_std
152.12843322753906,19.345565795898438,0.023782417899897774,0.5104249119758606,71.32328033447266,1.4112695455551147,0.049143970012664795,71.44195556640625,0.5554744005203247,0.2334291785955429,0.5772431492805481,24000,222.16641245052986,97.21659088134766,53.41484485192327,196.7563025210084,259.9853669842743,0.45024141669273376,1.0,93.19685363769531,0.48329222202301025,119.0,-138.74658203125,43.90199266609948,24,449.3132960796356,24.0,266.2446334859745,72.28863525390625,119.0,0.0,0.5814697742462158
151.4763946533203,28.43201446533203,0.022854436146078055,0.5111768245697021,74.43816375732422,1.4245150089263916,0.04883493483066559,74.24964141845703,0.5512884855270386,0.17967168986797333,0.49979129433631897,25000,228.09441024605914,98.55232238769531,53.44685652478699,200.93548387096774,275.0585678373202,0.47973451018333435,1.0,94.30046081542969,0.5727722644805908,124.0,-143.96270751953125,240.6141611211809,25,467.7543568611145,25.0,265.2194145913827,75.4769058227539,124.0,0.0,0.5363063812255859
176.58349609375,24.202835083007812,0.023782417899897774,0.5089873671531677,78.58937072753906,1.437129020690918,0.04515649750828743,78.35596466064453,0.548547625541687,0.15570510923862457,0.5420191287994385,26000,221.7695697261511,99.66210174560547,53.54818440208848,196.33333333333334,264.99824629739436,0.449921578168869,1.0,95.98451232910156,0.5235079526901245,129.0,-149.74896240234375,17.6277433632879,26,485.54400658607483,26.0,255.69665800568674,78.62397003173828,129.0,0.0,0.5846240520477295
145.8683319091797,42.57905197143555,0.024748079434129402,0.5093541145324707,79.16566467285156,1.4558717012405396,0.03828572481870651,78.4956283569336,0.5469821095466614,0.18761476874351501,0.5605360269546509,27000,221.83800552998105,109.03280639648438,53.544387319813836,198.3582089552239,269.74037841183457,0.4051269292831421,1.0,104.88888549804688,0.4967871904373169,134.0,-155.97134399414062,131.59171406003153,27,504.2545325756073,27.0,251.10017860029208,81.32543182373047,134.0,0.0,0.5929502248764038
168.89218139648438,32.20386505126953,0.025245515830755405,0.5113883018493652,80.73076629638672,1.4500443935394287,0.036873165518045425,80.22161865234375,0.5469630360603333,0.22807806730270386,0.5850485563278198,28000,227.36933548588377,108.87500762939453,53.46988764344639,204.97058823529412,268.10513992439076,0.3804212808609009,1.0,104.7242431640625,0.42702212929725647,136.0,-159.11915588378906,346.0203971082541,28,523.6592264175415,28.0,254.49018640414786,84.02836608886719,136.0,0.0,0.614108145236969
102.33128356933594,35.85437774658203,0.024748079434129402,0.5125927925109863,82.15703582763672,1.4838296175003052,0.029244262725114822,81.38945007324219,0.5440717339515686,0.19004081189632416,0.6226295828819275,29000,224.51439408983282,112.95948028564453,53.535397833546924,205.13475177304966,252.23438739187665,0.3996101915836334,1.0,108.56166076660156,0.3996610641479492,141.0,-163.9272003173828,-4.707856185558478,29,541.69766497612,29.0,245.55232286657179,86.23990631103516,141.0,0.0,0.646111786365509
155.850830078125,34.6474723815918,0.024748079434129402,0.5149604678153992,86.43145751953125,1.5171160697937012,0.022503018379211426,86.23716735839844,0.5422022342681885,0.2078903168439865,0.5116665363311768,30000,213.00541910985763,114.77485656738281,53.526671167013745,197.9271523178808,235.75750427936407,0.4667946398258209,1.0,110.0306396484375,0.5206969380378723,151.0,-166.37710571289062,136.0524057325145,30,560.4682552814484,30.0,241.9023256287699,88.10285186767578,151.0,0.0,0.5561400055885315
88.32220458984375,69.2323226928711,0.025245515830755405,0.5164958238601685,89.56784057617188,1.535918951034546,0.018579555675387383,89.44691467285156,0.5418131947517395,0.2517131567001343,0.5068373680114746,31000,208.5080789414921,116.21671295166016,53.564302124455224,195.31012658227849,224.2030088043323,0.39849528670310974,1.0,111.26736450195312,0.5671631693840027,158.0,-169.8933563232422,-36.787988354962906,31,578.743655204773,31.0,232.91231550026237,90.21422576904297,158.0,0.0,0.6154272556304932
83.6407470703125,52.26112747192383,0.025245515830755405,0.5134106278419495,90.38689422607422,1.5275006294250488,0.02035018429160118,90.18775177001953,0.5479099154472351,0.18293540179729462,0.5356441140174866,32000,209.58487157786908,120.03423309326172,53.60917635217455,195.36477987421384,224.07750119231642,0.42924538254737854,1.0,114.16503143310547,0.5081482529640198,159.0,-173.8010711669922,-19.507171268222514,32,596.9127335548401,32.0,225.02420653874728,92.90167236328125,159.0,0.0,0.6409363150596619
200.970947265625,48.70361328125,0.02575295069895359,0.5151790976524353,93.43177032470703,1.5400545597076416,0.0189706739038229,92.71317291259766,0.5480124950408936,0.25950488448143005,0.6053010821342468,33000,209.78967079712288,126.27703857421875,53.45558310153161,198.24096385542168,217.11557843999302,0.5057561993598938,1.0,120.69256591796875,0.45629844069480896,166.0,-178.60377502441406,339.7298338943448,33,617.3349552154541,33.0,228.50013464043204,94.03241729736328,166.0,0.0,0.5890139937400818
