total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
465000,0.6588383913040161,0.0,465.0,465,562.6787864826011,169.1018829345703,209.46852111816406,1.0,1000.0,771.5845950632487,1.7150983810424805,895.3658834371953,0.8609508872032166,0.0,-207.6733856201172,23.751384735107422,0.1941242218017578,465.0,-0.018508661538362503,465.0,2.880861282348633,193.81619262695312,195.2337646484375,1.6490578651428223,8567.569685935974,783.840694859863,0.21618986129760742,54.27443452993642
466000,0.6588016748428345,0.0,466.0,466,563.2721817747821,169.18838500976562,209.76910400390625,1.0,1000.0,913.2702856792503,1.6173382997512817,895.6094294819638,0.8687843680381775,0.0,-207.3800048828125,64.7337646484375,0.19418393075466156,466.0,-0.018340084701776505,466.0,2.8811867237091064,194.7705078125,195.74444580078125,1.5975216627120972,8586.312447547913,784.106199415993,0.211744025349617,54.272425193783945
467000,0.6587071418762207,0.0,467.0,467,563.652207994059,169.27471923828125,208.31419372558594,1.0,1000.0,494.7551786390868,1.3280754089355469,893.1214076919442,0.8192631006240845,0.0,-207.68194580078125,51.450416564941406,0.19421614706516266,467.0,-0.0183392520993948,467.0,2.881071090698242,193.09512329101562,194.03366088867188,1.3211851119995117,8605.012073516846,784.3685740326952,0.2384708672761917,54.27069666029397
468000,0.6586542129516602,0.0,468.0,468,564.2065622413777,169.3611602783203,209.79299926757812,1.0,1000.0,935.7404193754271,1.3902382850646973,892.8103304221033,0.7978070974349976,0.0,-207.8831024169922,48.790523529052734,0.19427035748958588,468.0,-0.018345603719353676,468.0,2.881093740463257,192.6751708984375,194.01197814941406,1.1872174739837646,8623.684973478317,785.7259968823378,0.34146443009376526,54.269143810251535
469000,0.6586188077926636,0.0,469.0,469,564.6562761445502,169.44683837890625,210.06875610351562,1.0,1000.0,938.5314341606821,1.6827820539474487,894.292326633791,0.8168364763259888,0.0,-207.3524627685547,77.02871704101562,0.19434678554534912,469.0,-0.018107792362570763,469.0,2.8815979957580566,194.4005889892578,195.767578125,1.6508405208587646,8642.56117606163,786.1089399980498,0.2669565975666046,54.2663211108123
470000,0.6586074829101562,0.0,470.0,470,565.1485596111836,169.5307159423828,210.12489318847656,1.0,1000.0,842.7469576574534,1.2830793857574463,898.1316297402933,0.8244829773902893,0.0,-207.64649963378906,32.096839904785156,0.19435104727745056,470.0,-0.018210776150226593,470.0,2.881892442703247,193.22268676757812,194.08529663085938,1.3876161575317383,8661.205748081207,788.4024880631962,0.24053116142749786,54.26496190834899
471000,0.6586634516716003,0.0,471.0,471,565.35254579854,169.61495971679688,205.82437133789062,1.0,1000.0,463.0823947470261,1.3576761484146118,893.8809352604602,0.8567196726799011,0.0,-207.78089904785156,32.12300109863281,0.19439390301704407,471.0,-0.018175071105360985,471.0,2.8828444480895996,189.41879272460938,190.38302612304688,1.5151233673095703,8679.871156215668,787.8429631610903,0.18259097635746002,54.26347828478033
472000,0.6587680578231812,0.0,472.0,472,565.5817615270555,169.69815063476562,210.5048065185547,1.0,1000.0,821.9350397084366,1.9440408945083618,892.9895087434192,0.8725252747535706,0.0,-208.2841033935547,24.4073543548584,0.19441193342208862,472.0,-0.018198009580373764,472.0,2.882964611053467,190.9059295654297,192.1114501953125,2.11364483833313,8698.509319543839,786.445998919738,0.1399199217557907,54.26217098365451
473000,0.6588098406791687,0.0,473.0,473,565.7017610255672,169.7823944091797,210.93115234375,1.0,1000.0,930.2833476834788,1.2575193643569946,893.1110152159883,0.8376946449279785,0.0,-208.05934143066406,25.390480041503906,0.19451075792312622,473.0,-0.01771521009504795,473.0,2.8835465908050537,189.71133422851562,190.83840942382812,1.5421273708343506,8717.128409147263,786.3022609268032,0.19131825864315033,54.26098799963305
474000,0.6588485240936279,0.0,474.0,474,565.95420793517,169.8673553466797,211.53524780273438,1.0,1000.0,976.446344852708,1.0790205001831055,895.6284381649415,0.7964333891868591,0.0,-208.1221923828125,10.960288047790527,0.19458124041557312,474.0,-0.017504720017313957,474.0,2.8839340209960938,189.29501342773438,190.64224243164062,1.3740397691726685,8735.732954025269,783.6426170621978,0.18457090854644775,54.259900399266364
