rollout/episodes,reference_action_std,eval/return,eval/episodes,rollout/return_history,rollout/return,total/duration,ret_rms_std,total/epochs,rollout/Q_mean,obs_rms_std,ret_rms_mean,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,eval/Q,total/steps,reference_actor_Q_mean,reference_actor_Q_std,rollout/actions_std,eval/return_history,reference_action_mean,train/loss_critic,train/loss_actor,obs_rms_mean,reference_Q_mean,train/param_noise_distance,rollout/episode_steps
565.0,0.8646945953369141,281.78446478360837,565.0,892.1305008167649,801.0602814486755,10463.1297249794,1.0,565,275.02685546875,2.8139541149139404,0.0,565.0,2.6488351821899414,-0.05930650234222412,53.999139344620176,188.03663635253906,565000,380.60693359375,3.0166256427764893,0.6708876490592957,1192.8372276848174,0.12559175491333008,22.65216064453125,-327.5552673339844,0.16223032772541046,378.5137939453125,0.0,1000.0
566.0,0.853843629360199,679.9426873619387,566.0,885.1558264068159,800.0444515838892,10481.826134443283,1.0,566,274.7743835449219,2.8140599727630615,0.0,566.0,2.661639928817749,-0.05905578285455704,53.99822442581106,250.9043426513672,566000,381.46826171875,2.488024950027466,0.6714633703231812,1195.4002343215116,0.20321422815322876,123.37344360351562,-326.9320373535156,0.162309929728508,378.97088623046875,0.0,1000.0
567.0,0.8007110953330994,1163.430168130422,567.0,898.1066084940062,801.0732442756189,10500.53146648407,1.0,567,274.97601318359375,2.8145086765289307,0.0,567.0,2.071777105331421,-0.059166133403778076,53.997266882135314,313.4635925292969,567000,382.75128173828125,2.192350387573242,0.6714584827423096,1190.5582409324156,0.21727722883224487,11.55087661743164,-328.6676940917969,0.16236118972301483,380.23223876953125,0.0,1000.0
568.0,0.8012164235115051,1378.0284625409772,568.0,897.654215483681,800.4881428643514,10519.314647197723,1.0,568,274.8758850097656,2.8156516551971436,0.0,568.0,1.3401408195495605,-0.059075113385915756,53.9959131416714,376.2981872558594,568000,383.198974609375,1.1385257244110107,0.6717821955680847,1187.7510280616405,0.25637438893318176,59.93077087402344,-328.8291931152344,0.16243243217468262,381.06610107421875,0.0,1000.0
569.0,0.8735085725784302,889.9753729910701,569.0,889.0578680460677,799.4264983737564,10538.027021408081,1.0,569,274.7084655761719,2.817296266555786,0.0,569.0,1.0925242900848389,-0.058732204139232635,53.99492702420218,294.5539855957031,569000,383.8516540527344,1.5992493629455566,0.6721497774124146,1183.6793451435549,0.1863611489534378,95.72980499267578,-328.98016357421875,0.16252560913562775,381.62005615234375,0.0,1000.0
570.0,0.810642659664154,1115.6479732324103,570.0,895.957495670184,800.0945382541182,10556.763112306595,1.0,570,274.9147644042969,2.8173813819885254,0.0,570.0,5.434294700622559,-0.05863693356513977,53.99382310052216,336.3409423828125,570000,384.06988525390625,1.9230273962020874,0.6721556782722473,1183.1745212803864,0.10919205099344254,87.47437286376953,-327.96612548828125,0.16256499290466309,381.0528564453125,0.0,1000.0
571.0,0.8461968898773193,112.50047744358415,571.0,891.627690357205,800.1147706569448,10575.5929043293,1.0,571,274.99456787109375,2.8182871341705322,0.0,571.0,1.4034146070480347,-0.05881580337882042,53.99224470585015,143.8997802734375,571000,382.6355895996094,1.6248745918273926,0.6723107099533081,1170.5491698831343,0.09730220586061478,131.7821807861328,-330.58148193359375,0.16257576644420624,379.9013366699219,0.0,1000.0
572.0,0.87270587682724,961.1543212262765,572.0,904.3736292591731,800.8279016916878,10594.465729951859,1.0,572,275.2003479003906,2.818058967590332,0.0,572.0,1.5038483142852783,-0.058989040553569794,53.990452617434556,282.19476318359375,572000,383.2789001464844,2.202162742614746,0.6722390055656433,1172.0172392571221,0.1291368007659912,113.8836898803711,-326.3166198730469,0.16257059574127197,380.32379150390625,0.0,1000.0
573.0,0.9083156585693359,768.6860641929466,573.0,909.3115172136775,800.6003579061245,10613.27618932724,1.0,573,275.220458984375,2.8195149898529053,0.0,573.0,2.3426716327667236,-0.05921096354722977,53.98898415328261,302.0886535644531,573000,384.16650390625,2.8914506435394287,0.672356128692627,1163.4729949699615,0.17055518925189972,202.30148315429688,-328.4862060546875,0.16256365180015564,381.05078125,0.0,1000.0
574.0,0.9201350212097168,596.1206372677849,574.0,907.9632137943119,801.0798330367813,10632.008061170578,1.0,574,275.42279052734375,2.8195769786834717,0.0,574.0,2.7337796688079834,-0.059054065495729446,53.98791993925585,240.2886505126953,574000,384.74395751953125,2.5034642219543457,0.6723973751068115,1155.5473009602445,0.15560626983642578,74.32954406738281,-327.95159912109375,0.1625862568616867,381.7876281738281,0.0,1000.0
