rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,reference_perturbed_action_std,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,param_noise_stddev,rollout/Q_mean,eval/return,reference_perturbed_action_mean,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
10001.0,2022.5291748046875,2713.9482421875,1599.0,1599000,10001.0,0.8832023739814758,21255.1005256176,0.24162858724594116,0.8721340894699097,17224.728515625,0.2217208296060562,1.9473788738250732,159.87211278872113,1305.5450439453125,0.013091022799070031,1933.61865234375,799.5106935871233,0.269544392824173,776.5127365520897,1599,0.18510133028030396,1298.2347412109375,0.8200659155845642,6.18314266204834,-2991.931884765625,1340.123794252342,1243.338437153752,75.22900200226357,1912.837646484375,0.0,1.0
10009.0,2004.1964111328125,2548.634521484375,1600.0,1600000,10009.0,0.876941978931427,21269.001833200455,0.26296061277389526,0.8758882880210876,15758.400390625,0.2216934859752655,1.9472599029541016,159.8514337096613,1315.8375244140625,0.012580215599082718,1934.0916748046875,707.7381763231585,0.24550288915634155,776.4271119815504,1600,0.1986474096775055,1307.808837890625,0.8201084733009338,6.185180187225342,-3014.036865234375,1330.150108174287,1131.1052195237808,75.22684950369577,1897.2760009765625,0.0,1.0
10015.0,2024.5244140625,3014.635009765625,1601.0,1601000,10015.0,0.8636854290962219,21283.224296569824,0.2966856062412262,0.8584105968475342,14273.173828125,0.22165045142173767,1.9471584558486938,159.85062406390415,1296.52001953125,0.01208933992007461,1934.6624755859375,897.396872235314,0.3144179582595825,776.4286093779452,1601,0.1978263109922409,1284.68408203125,0.8201416730880737,6.185507774353027,-3002.70458984375,1314.012940055479,1073.7152183009928,75.22356470480979,1922.84716796875,0.0,1.0
10020.0,2058.257568359375,2608.04833984375,1602.0,1602000,10020.0,0.8789006471633911,21297.577780485153,0.2507411539554596,0.8751269578933716,14120.0087890625,0.22162297368049622,1.9471160173416138,159.86107784431138,1294.405517578125,0.01208933992007461,1935.1654052734375,925.5929509450227,0.27273979783058167,776.467984639853,1602,0.2088259905576706,1283.5401611328125,0.8201732039451599,6.186371326446533,-2998.58349609375,1310.9146537741344,1039.5825624120218,75.21982154552352,1958.0936279296875,0.0,1.0
10023.0,2048.570068359375,3113.9853515625,1603.0,1603000,10023.0,0.8717083930969238,21312.307601213455,0.2715795040130615,0.8645108938217163,16097.0498046875,0.22159390151500702,1.9470514059066772,159.86311483587747,1302.4217529296875,0.01208933992007461,1935.878662109375,1331.2032218332365,0.28884318470954895,776.4748565931122,1603,0.20657965540885925,1294.6102294921875,0.820182204246521,6.187047958374023,-3021.98779296875,1304.541166591098,1047.2107061964596,75.21475524821771,1946.392333984375,0.0,1.0
10026.0,2027.9501953125,3011.40869140625,1604.0,1604000,10026.0,0.9005123972892761,21327.24941587448,0.1987987458705902,0.8959339261054993,18807.619140625,0.22156715393066406,1.946988821029663,159.98184719728707,1296.9178466796875,0.012332335652468109,1936.522705078125,1333.1254112720226,0.20517387986183167,777.0551277966616,1604,0.18611682951450348,1290.0211181640625,0.8201994895935059,6.187625885009766,-3006.163818359375,1302.6960766693476,1111.347513273185,75.20894836096852,1919.7333984375,0.0,1.0
10030.0,2051.854248046875,3208.746337890625,1605.0,1605000,10030.0,0.8623377680778503,21343.82656598091,0.3261706233024597,0.8548076748847961,12293.8466796875,0.22154073417186737,1.9469200372695923,160.01844466600198,1300.9754638671875,0.012332335652468109,1937.178466796875,2522.6684814768532,0.33910396695137024,777.2508761567033,1605,0.22760048508644104,1291.1771240234375,0.8202250599861145,6.188239097595215,-3004.382568359375,1317.5164971840295,1105.6796257069807,75.1973876398596,1938.42919921875,0.0,1.0
10034.0,2075.88818359375,2646.537841796875,1606.0,1606000,10034.0,0.8285865783691406,21357.923941135406,0.409226655960083,0.8674156069755554,19664.201171875,0.22154274582862854,1.9468896389007568,160.0116603547937,1318.5313720703125,0.01335415235733134,1938.005615234375,727.6421262442284,0.30955010652542114,777.2189437197183,1606,0.22372809052467346,1305.6820068359375,0.8202356100082397,6.188867568969727,-2979.78759765625,1320.293843390976,1105.7626784278277,75.19457436154835,1960.049072265625,0.0,1.0
10040.0,2059.52001953125,2233.00537109375,1607.0,1607000,10040.0,0.8466677069664001,21371.970739364624,0.36063718795776367,0.8538252115249634,17739.779296875,0.22155877947807312,1.9468721151351929,160.0557768924303,1310.618408203125,0.012833077932624282,1938.520751953125,731.3457058588908,0.3517853319644928,777.4226245635945,1607,0.2353638857603073,1297.498291015625,0.820246160030365,6.189168930053711,-2976.72021484375,1312.827165626032,1126.6293541167176,75.19194273647855,1942.2657470703125,0.0,1.0
10046.0,2066.43603515625,2778.210205078125,1608.0,1608000,10046.0,0.8398411870002747,21386.72127056122,0.3543263375759125,0.8480514287948608,12258.3271484375,0.22154425084590912,1.9468631744384766,160.06022297431812,1303.4932861328125,0.012580215599082718,1938.8721923828125,1208.0987392283973,0.3443378508090973,777.4405610730673,1608,0.19782046973705292,1290.89501953125,0.8202675580978394,6.189801216125488,-2988.5458984375,1313.6443214408116,1094.443223521374,75.18684045381977,1952.505859375,0.0,1.0
