total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
216000,0.6966480612754822,0.0,216.0,216,1219.0311949471711,302.4267272949219,481.44989013671875,1.0,1000.0,2566.446169158665,8.030755043029785,1918.7619642078319,0.6971375942230225,0.0,-464.5299987792969,284.91766357421875,0.08488553017377853,216.0,0.021937759593129158,216.0,2.361778974533081,456.52471923828125,459.8121337890625,7.692739009857178,2821.8984818458557,1465.8672436518243,0.016724660992622375,76.54421354616217
217000,0.6968748569488525,0.0,217.0,217,1223.815616473182,303.2521667480469,482.9111022949219,1.0,1000.0,2426.3404962382833,6.848469257354736,1918.6600229635444,0.6913657784461975,0.0,-464.8959655761719,79.18647003173828,0.08515353500843048,217.0,0.021925773471593857,217.0,2.3638744354248047,455.922119140625,458.61376953125,6.318211078643799,2835.062788248062,1465.9172968929156,0.09278427809476852,76.54151467103696
218000,0.6971742510795593,0.0,218.0,218,1218.052550389244,304.0284729003906,484.7221984863281,1.0,1000.0,2697.500597312236,6.740138530731201,1928.288367408343,0.6771543622016907,0.0,-465.115478515625,215.11936950683594,0.08470260351896286,218.0,0.021427681669592857,218.0,2.3601276874542236,455.71478271484375,459.7051086425781,6.938236236572266,2848.4984838962555,1444.8573989553486,0.13012449443340302,76.53154854476648
219000,0.6970301866531372,0.0,219.0,219,1217.7009476057226,304.8062744140625,481.8240051269531,1.0,1000.0,2053.781838635558,8.581480979919434,1931.1545700037084,0.7019321322441101,0.0,-465.97430419921875,185.4688720703125,0.08454039692878723,219.0,0.020832940936088562,219.0,2.35917329788208,452.4881591796875,457.6683654785156,7.802084445953369,2861.684227705002,1438.758708676844,0.10753478854894638,76.52835972598992
220000,0.6968642473220825,0.0,220.0,220,1216.6099588410987,305.5863342285156,483.5704040527344,1.0,1000.0,2279.3225112130813,8.853797912597656,1937.3647596384203,0.6780157685279846,0.0,-466.6092529296875,133.6177978515625,0.08434343338012695,220.0,0.020592810586094856,220.0,2.357518196105957,458.3905029296875,462.0940246582031,7.438030242919922,2874.841912984848,1428.7869892985514,0.07870980352163315,76.52594704645226
221000,0.6969950199127197,0.0,221.0,221,1219.3028372476083,306.3745422363281,482.3725891113281,1.0,1000.0,2239.5789701939625,5.836153030395508,1933.1549370640528,0.6230555772781372,0.0,-466.0757141113281,351.607666015625,0.08448684215545654,221.0,0.02065916918218136,221.0,2.358621597290039,459.2335205078125,462.1962890625,5.3641204833984375,2887.9627737998962,1429.6450432193537,0.11009051650762558,76.52453210441308
222000,0.6967851519584656,0.0,222.0,222,1217.3301786062914,307.1319274902344,485.47406005859375,1.0,1000.0,2694.9542915930106,8.709343910217285,1933.5323920485635,0.6405401229858398,0.0,-466.5655517578125,218.5167236328125,0.08429741859436035,222.0,0.02064940147101879,222.0,2.356607437133789,456.4986572265625,459.7853698730469,8.224933624267578,2901.0417535305023,1424.4947010750589,0.12711772322654724,76.52423469253105
223000,0.6969160437583923,0.0,223.0,223,1220.8204647072512,307.91412353515625,485.3699951171875,1.0,1000.0,2547.4134148377466,8.100743293762207,1941.9644054057605,0.6667054891586304,0.0,-466.98699951171875,150.26495361328125,0.08442217111587524,223.0,0.02086581476032734,223.0,2.3573780059814453,456.8966369628906,460.567138671875,7.186962127685547,2914.173604488373,1423.9014464130828,0.15216754376888275,76.52255159285578
224000,0.6969671249389648,0.0,224.0,224,1224.9335906657636,308.7002258300781,484.81201171875,1.0,1000.0,2435.49272963412,6.186641216278076,1943.1822216595608,0.6679063439369202,0.0,-467.36761474609375,147.8209228515625,0.08457999676465988,224.0,0.02069888263940811,224.0,2.3592305183410645,457.7406921386719,461.8931884765625,5.417054653167725,2927.332561969757,1432.0197973129723,0.06435858458280563,76.52017502557818
225000,0.6973474025726318,0.0,225.0,225,1228.5513968624841,309.4743957519531,486.40216064453125,1.0,1000.0,2631.327464135153,9.365580558776855,1965.6781279412387,0.6607586145401001,0.0,-467.9992980957031,82.6405258178711,0.08478963375091553,225.0,0.02084272913634777,225.0,2.3608558177948,457.4581298828125,460.9376220703125,9.115747451782227,2940.594911336899,1452.0981459034458,0.10583683848381042,76.51512934765537
226000,0.6974685788154602,0.0,226.0,226,1230.0235934701218,310.13482666015625,483.5867004394531,1.0,1000.0,2331.4144213012028,12.97164249420166,1974.6180468471346,0.70442134141922,0.0,-468.3197937011719,297.4906921386719,0.08502195030450821,226.0,0.021245721727609634,226.0,2.361281394958496,455.33306884765625,458.94219970703125,12.540349960327148,2953.729831933975,1453.3557339925524,0.029706165194511414,76.51342975130021
