total/steps,ret_rms_std,rollout/episodes,train/loss_critic,rollout/actions_std,rollout/episode_steps,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,rollout/return_history,reference_Q_mean,train/loss_actor,param_noise_stddev,reference_action_std,eval/return_history,obs_rms_std,total/steps_per_second,reference_actor_Q_mean,total/episodes,reference_Q_std,eval/Q,rollout/return,ret_rms_mean,reference_actor_Q_std,obs_rms_mean,reference_action_mean,eval/return,total/duration,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,rollout/actions_mean
31000,1.0,555.0,430.9910888671875,0.7890844941139221,55.75675675675676,31,226.6463165283203,-0.024541161954402924,350.40727588854514,323.244873046875,-363.505615234375,0.017999379770019416,0.8160826563835144,321.51450484049303,7.292773246765137,66.66960527527056,342.6937255859375,555.0,230.3575897216797,441.33868408203125,268.9588644406954,0.0,235.68679809570312,1.767289161682129,0.016194669529795647,312.5863325569229,464.97950410842896,31.0,0.18480469286441803,0.8319343328475952,0.08832823485136032
32000,1.0,568.0,565.9344482421875,0.789715051651001,56.267605633802816,32,232.84371948242188,0.10022753477096558,345.5749188727547,321.9330139160156,-369.765380859375,0.017297050171870294,0.8191279768943787,318.64104361047146,7.293102741241455,66.66960669608001,345.08990478515625,568.0,235.94863891601562,392.62799072265625,270.812275756809,0.0,240.93060302734375,1.768707275390625,0.14106571674346924,229.5637454798055,479.9788327217102,32.0,0.20147593319416046,0.820970356464386,0.09238366037607193
33000,1.0,579.0,556.458740234375,0.7909703254699707,56.799654576856646,33,239.00474548339844,0.1646026223897934,347.13975472384664,337.2025146484375,-371.2610168457031,0.01695622994987775,0.8128788471221924,321.17289237064,7.287795066833496,66.62239441467455,359.41522216796875,579.0,243.3224639892578,410.5589294433594,272.96425730056427,0.0,249.55917358398438,1.7696318626403809,0.18840491771697998,402.1920526960327,495.32893991470337,33.0,0.2068672925233841,0.8156657814979553,0.09472128003835678
34000,1.0,595.0,538.7960815429688,0.7920823693275452,57.02857142857143,34,244.06661987304688,0.07720991969108582,337.2660190198497,343.8428955078125,-384.3984375,0.017644720880324885,0.8313557505607605,323.80182338105436,7.280462265014648,66.5786715324431,365.5973205566406,595.0,249.3628692626953,391.5187683105469,273.8379418676578,0.0,254.68275451660156,1.774653673171997,0.07783430814743042,410.55654672472883,510.67405247688293,34.0,0.20757709443569183,0.8313150405883789,0.09836437553167343
35000,1.0,607.0,675.4071044921875,0.7928139567375183,57.58813838550247,35,249.57859802246094,0.1293245106935501,342.0969551476743,340.54827880859375,-383.765380859375,0.017297050171870294,0.8232170343399048,324.6919103428145,7.257467269897461,66.543390315355,361.145751953125,607.0,257.716796875,388.7281799316406,276.2867090466317,0.0,262.0143127441406,1.778406023979187,0.13887183368206024,354.9548670426583,525.9725997447968,35.0,0.20481780171394348,0.8278293609619141,0.10126306116580963
36000,1.0,621.0,762.53515625,0.793981671333313,57.971014492753625,36,253.4871063232422,0.147054985165596,343.5514792278376,340.6204528808594,-390.9381103515625,0.016294603698363365,0.8024970889091492,326.4305257322746,7.255234718322754,66.5002179181614,361.4271240234375,621.0,261.3169860839844,401.69744873046875,278.07503117830527,0.0,268.1567687988281,1.7818366289138794,0.1935652196407318,387.2820643633785,541.3516094684601,36.0,0.2316850870847702,0.8120164275169373,0.10262355953454971
37000,1.0,635.0,697.6193237304688,0.7944310903549194,58.103937007874016,37,258.8919372558594,0.051232196390628815,325.8609431138161,349.000244140625,-394.0283203125,0.01695622994987775,0.8327637910842896,330.51909729401626,7.261526584625244,66.44547718297926,372.61883544921875,635.0,265.71148681640625,461.43658447265625,278.3276041699985,0.0,273.6336669921875,1.7833027839660645,0.053894877433776855,477.70767351671685,556.8475322723389,37.0,0.20179927349090576,0.8249083161354065,0.10552174597978592
38000,1.0,646.0,839.1026000976562,0.7962208986282349,58.72600619195047,38,264.1247863769531,-0.013854149729013443,347.06597529914376,357.8194580078125,-410.80010986328125,0.01695622994987775,0.8509542346000671,332.49392728573565,7.226052284240723,66.41278179097544,382.98211669921875,646.0,271.77947998046875,475.36163330078125,281.46922266239346,0.0,279.7022399902344,1.7831417322158813,-0.01899305172264576,405.56263697935407,572.179013967514,38.0,0.2141089141368866,0.8380411267280579,0.10260482877492905
39000,1.0,657.0,822.2750244140625,0.798370361328125,59.26331811263318,39,270.9564208984375,0.0556681789457798,366.2630266807696,360.9158935546875,-412.2783203125,0.01662212523270047,0.8482691049575806,339.90740326638587,7.184036731719971,66.33813483972583,385.99139404296875,657.0,276.1173400878906,597.1552734375,283.97326651361755,0.0,284.7569580078125,1.7843512296676636,-0.008687492460012436,621.6194905310929,587.8971438407898,39.0,0.2133275866508484,0.8557489514350891,0.10038097202777863
40000,1.0,669.0,1029.240234375,0.8001271486282349,59.69805680119581,40,276.5632629394531,-0.00892095360904932,369.03587107766526,360.4922790527344,-431.98883056640625,0.01662212523270047,0.848704993724823,341.4270090309149,7.156124114990234,66.31520398356378,384.94818115234375,669.0,277.4251708984375,503.1304016113281,285.76213992874585,0.0,284.168701171875,1.7857593297958374,-0.02960510179400444,400.69163384754745,603.1799285411835,40.0,0.19391869008541107,0.8500633835792542,0.09893592447042465
