total/steps,reference_actor_Q_std,reference_actor_Q_mean,ret_rms_mean,reference_Q_mean,obs_rms_std,param_noise_stddev,reference_Q_std,eval/return_history,eval/return,obs_rms_mean,total/episodes,train/loss_actor,rollout/actions_std,reference_action_mean,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_std,total/steps_per_second,rollout/actions_mean,rollout/episodes,train/loss_critic,reference_action_std,eval/Q,rollout/return,rollout/episode_steps,rollout/return_history,rollout/Q_mean,total/epochs,total/duration
865000,6.129119873046875,516.2408447265625,0.0,513.6397094726562,2.4692625999450684,0.018361167303396805,5.418368339538574,2746.081058896349,2992.8561679552145,0.13826362788677216,865.0,-535.4403686523438,0.7560275793075562,0.22483110427856445,865.0,0.21986477077007294,0.7681597471237183,0.1808198243379593,1.0,44.48786863699955,0.08630184084177017,865.0,282.2782897949219,0.7285434007644653,563.6482543945312,1713.285358960672,1000.0,2517.9968934361473,375.60711669921875,865,19443.50283575058
866000,6.28501033782959,517.873291015625,0.0,514.3834838867188,2.469758987426758,0.017999379770019416,6.1494927406311035,2739.2106607283313,2563.42247528143,0.13830994069576263,866.0,-535.4747924804688,0.7560485005378723,0.23479707539081573,866.0,0.20077703893184662,0.7294256091117859,0.24606116116046906,1.0,44.486679195615515,0.08624918758869171,866.0,871.7069702148438,0.7239236235618591,554.759521484375,1714.2173297645106,1000.0,2512.802956930962,375.81365966796875,866,19466.501336097717
867000,6.048327445983887,514.96435546875,0.0,512.1800537109375,2.470093250274658,0.018730226766195082,5.991325378417969,2739.9928254024267,3061.3306893557483,0.13832630217075348,867.0,-537.033203125,0.7560369968414307,0.17920362949371338,867.0,0.20042376220226288,0.794352650642395,0.18102501332759857,1.0,44.485709792062934,0.0860830619931221,867.0,298.8391418457031,0.7595081925392151,562.7439575195312,1715.709291272276,1000.0,2512.7557159342505,376.02978515625,867,19489.40466618538
868000,5.916289806365967,514.7177734375,0.0,510.93670654296875,2.4705657958984375,0.017644720880324885,5.577293395996094,2742.0684348175664,3120.5026579198225,0.13833582401275635,868.0,-535.222412109375,0.7560616731643677,0.21437251567840576,868.0,0.23716957867145538,0.7685282230377197,0.19526328146457672,1.0,44.48446654825431,0.08593768626451492,868.0,570.5518188476562,0.7596566081047058,566.0527954101562,1716.8933384383752,1000.0,2512.329400018178,376.2418518066406,868,19512.429109573364
869000,6.532962322235107,518.587646484375,0.0,515.446044921875,2.4707815647125244,0.017999379770019416,6.221621513366699,2742.681488803174,3077.388189449194,0.13831886649131775,869.0,-538.8936157226562,0.7559715509414673,0.23374240100383759,869.0,0.18189187347888947,0.7366471886634827,0.2640672028064728,1.0,44.48315203221391,0.0856938287615776,869.0,389.8218994140625,0.7430531978607178,567.3651123046875,1718.2862147917922,1000.0,2514.611823952216,376.4596862792969,869,19535.48614025116
870000,6.120909690856934,520.05126953125,0.0,517.4940185546875,2.471342086791992,0.018361167303396805,5.662053108215332,2749.9352544744893,3150.8749445380686,0.13831691443920135,870.0,-537.8615112304688,0.7559613585472107,0.16383089125156403,870.0,0.20752307772636414,0.738841712474823,0.15480533242225647,1.0,44.481990028409015,0.08554535359144211,870.0,445.627197265625,0.7345248460769653,566.533203125,1719.6661489666353,1000.0,2514.540747139905,376.676513671875,870,19558.477474689484
871000,6.251140117645264,519.6416625976562,0.0,515.833740234375,2.471891403198242,0.017999379770019416,5.810120582580566,2777.247650913168,2766.8927503875702,0.13833007216453552,871.0,-537.6937255859375,0.7559948563575745,0.1425205022096634,871.0,0.15530695021152496,0.7838336825370789,0.17151032388210297,1.0,44.481078242322255,0.08541582524776459,871.0,390.75567626953125,0.7810889482498169,562.94873046875,1720.5843674010748,1000.0,2514.0078987829843,376.8798828125,871,19581.359859466553
872000,5.474707126617432,516.4931640625,0.0,513.335205078125,2.472266912460327,0.018730226766195082,4.9924492835998535,2789.6743832706557,2697.300892539287,0.13836628198623657,872.0,-535.40771484375,0.7560323476791382,0.051568955183029175,872.0,0.24125245213508606,0.7690196633338928,0.11351004987955093,1.0,44.47991410909824,0.08530037105083466,872.0,349.91558837890625,0.7885922193527222,561.3652954101562,1721.5753063836369,1000.0,2542.6737284167675,377.0879211425781,872,19604.354402780533
873000,6.21024227142334,518.4642333984375,0.0,514.9853515625,2.4725568294525146,0.019882513137642284,5.923505783081055,2797.0327052646116,3377.091790826524,0.13838614523410797,873.0,-537.6369018554688,0.7559834122657776,0.16881871223449707,873.0,0.18793044984340668,0.7715303897857666,0.13617569208145142,1.0,44.47879394217354,0.08511494100093842,873.0,351.43304443359375,0.7721786499023438,565.0745239257812,1722.8877606556919,1000.0,2562.0559366440443,377.3005676269531,873,19627.330748558044
874000,6.75596284866333,516.7286376953125,0.0,513.374755859375,2.4731016159057617,0.019106704324195603,6.715333461761475,2807.234978516577,3040.3374052338595,0.13842391967773438,874.0,-537.8193969726562,0.7560059428215027,0.16252662241458893,874.0,0.22694240510463715,0.7960639595985413,0.11386797577142715,1.0,44.47781073856482,0.08496566116809845,874.0,250.6289520263672,0.765151858329773,564.0480346679688,1724.864998452236,1000.0,2567.866586943229,377.5168762207031,874,19650.24774122238
