eval/episodes,total/epochs,total/duration,ret_rms_std,reference_perturbed_action_mean,rollout/episodes,train/param_noise_distance,rollout/return_history,reference_action_std,rollout/actions_std,ret_rms_mean,reference_action_mean,rollout/actions_mean,rollout/Q_mean,total/steps_per_second,rollout/return,total/steps,obs_rms_std,reference_actor_Q_std,obs_rms_mean,rollout/episode_steps,reference_Q_std,eval/Q,reference_perturbed_action_std,param_noise_stddev,total/episodes,reference_Q_mean,train/loss_actor,eval/return,eval/return_history,train/loss_critic,reference_actor_Q_mean
258.0,258,23475.014242887497,1.0,0.0770997628569603,258.0,0.185655377805233,1515.681261132349,0.8283397555351257,0.668920636177063,0.0,0.07806608825922012,-0.04575154557824135,266.6864318847656,10.990408667299075,965.7814391429669,258000,2.0944902896881104,3.9138848781585693,0.05815308913588524,1000.0,3.807755708694458,386.1246643066406,0.8180781602859497,0.020282151651708893,258.0,357.8599853515625,-367.0950927734375,2109.4227449976615,1648.2757716548733,131.14617919921875,360.26220703125
259.0,259,23507.349826812744,1.0,0.08481963723897934,259.0,0.2066391557455063,1513.7451824177335,0.827180027961731,0.6691319942474365,0.0,0.06533791869878769,-0.04618978872895241,267.1376647949219,11.01783067458254,969.0672741907088,259000,2.0942280292510986,4.5577778816223145,0.05825062841176987,1000.0,4.788541793823242,386.77496337890625,0.8019251227378845,0.019882513137642284,259.0,357.1897277832031,-366.56463623046875,2058.1217126702486,1652.3901338115145,91.14530181884766,359.842041015625
260.0,260,23539.599035978317,1.0,0.09035345166921616,260.0,0.2056795358657837,1513.1127521561787,0.8264309763908386,0.6690513491630554,0.0,0.10913299769163132,-0.04668775573372841,267.58221435546875,11.045217873193662,971.4654917795943,260000,2.093757152557373,3.9928035736083984,0.05825662240386009,1000.0,4.19010066986084,387.00469970703125,0.8326190114021301,0.019490749081111935,260.0,359.1707763671875,-366.9826965332031,2003.3755627955506,1657.1690571360782,147.3088836669922,361.50469970703125
261.0,261,23571.91687130928,1.0,0.16246297955513,261.0,0.2305789738893509,1514.4566684237516,0.7933459877967834,0.6690148711204529,0.0,0.05126529932022095,-0.046902257949113846,268.0129089355469,11.072497897601105,973.4259156268845,261000,2.094886541366577,3.8483457565307617,0.0582839660346508,1000.0,4.081079959869385,380.5280456542969,0.7812436819076538,0.019490749081111935,261.0,358.51934814453125,-366.6369934082031,1359.2263963140424,1656.3792672956554,164.1956024169922,360.658203125
262.0,262,23604.090690135956,1.0,0.08963823318481445,262.0,0.21455083042383194,1513.913426922661,0.8044840693473816,0.6692090630531311,0.0,0.13093169033527374,-0.04714813828468323,268.4467468261719,11.099770943918998,975.5828779106332,262000,2.0942559242248535,4.525294303894043,0.05838512256741524,1000.0,4.821042060852051,385.24310302734375,0.8302959203720093,0.020689822899908242,262.0,358.2038269042969,-367.6327819824219,1867.732163287689,1666.2235656015337,121.3354721069336,359.5736083984375
263.0,263,23636.282017469406,1.0,0.07266701012849808,263.0,0.20807188749313354,1528.5546239561093,0.8109685778617859,0.6694269776344299,0.0,0.16373412311077118,-0.04757346585392952,268.8917236328125,11.126961499512428,978.8266231156048,263000,2.093538761138916,4.180971145629883,0.058519087731838226,1000.0,4.185723304748535,385.5403137207031,0.8210752606391907,0.020689822899908242,263.0,359.0591735839844,-367.8119812011719,1908.0211854921552,1670.568585887099,155.2330322265625,360.6529235839844
264.0,264,23668.47460746765,1.0,0.15453888475894928,264.0,0.19390324503183365,1535.7317219941403,0.801173985004425,0.6696632504463196,0.0,0.17769156396389008,-0.04826900735497475,269.34185791015625,11.154077496684355,984.8600450815981,264000,2.0932705402374268,4.206193447113037,0.05875209718942642,1000.0,4.2781829833984375,385.7775573730469,0.8136996030807495,0.019882513137642284,264.0,358.8177795410156,-368.52008056640625,1844.5978086939472,1671.3241833319134,88.93397521972656,360.31280517578125
265.0,265,23700.680784463882,1.0,-0.013033926486968994,265.0,0.20402570813894272,1538.8116115386176,0.8318907022476196,0.6697145104408264,0.0,0.10026225447654724,-0.0488763302564621,269.7872009277344,11.181113420746593,988.5227098835908,265000,2.0924084186553955,4.980799674987793,0.058797769248485565,1000.0,4.8358845710754395,383.7660217285156,0.7984346151351929,0.020282151651708893,265.0,360.6044921875,-369.6147155761719,1377.3835282333846,1673.4156592157897,107.06385803222656,362.112548828125
266.0,266,23733.05080461502,1.0,0.06174280121922493,266.0,0.19799642264842987,1533.3402420743637,0.842462956905365,0.6700253486633301,0.0,0.1737149953842163,-0.04942385107278824,270.2012023925781,11.207998591916168,988.5270456076158,266000,2.0928776264190674,4.173191547393799,0.05868922546505928,1000.0,4.525538921356201,385.6575012207031,0.8464406132698059,0.020282151651708893,266.0,361.8964538574219,-371.9603271484375,1282.0995324838664,1670.1528469887694,110.09412384033203,364.06365966796875
267.0,267,23765.329785346985,1.0,0.03899514675140381,267.0,0.19573597609996796,1529.4225107529853,0.8146916627883911,0.670393168926239,0.0,0.14537560939788818,-0.049232542514801025,270.63018798828125,11.234853562378271,990.0910531823181,267000,2.0929067134857178,4.702535152435303,0.05879456549882889,1000.0,4.75946569442749,387.8840026855469,0.7966018319129944,0.019106704324195603,267.0,361.3094787597656,-370.7721862792969,1678.7891946972195,1669.481240173298,168.52670288085938,363.01611328125
268.0,268,23797.567752838135,1.0,0.05131500959396362,268.0,0.2136366069316864,1529.8742765066213,0.8466202616691589,0.6702978610992432,0.0,0.1825721710920334,-0.04929385334253311,271.06689453125,11.261655089438202,993.0399922595956,268000,2.092679023742676,4.056986331939697,0.058911290019750595,1000.0,4.399176597595215,388.6608581542969,0.8422968983650208,0.020282151651708893,268.0,363.94561767578125,-370.7861633300781,1894.4880361886583,1672.9011513425844,108.29722595214844,365.6489562988281
