total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,rollout/Q_mean,eval/return_history,train/loss_actor,total/steps,rollout/episode_steps,rollout/actions_mean,eval/Q,total/duration,total/steps_per_second,train/param_noise_distance,ret_rms_std,rollout/return_history,eval/return,reference_actor_Q_std,reference_action_std,rollout/actions_std,param_noise_stddev,reference_perturbed_action_mean,reference_Q_std,obs_rms_std,eval/episodes,train/loss_critic,rollout/return,obs_rms_mean,total/epochs,rollout/episodes,ret_rms_mean,reference_action_mean
767.0,0.8962616324424744,38.677833557128906,37.49684143066406,240.07086181640625,1270.4943941298288,-295.7344970703125,767000,1000.0,-0.046945106238126755,317.92193603515625,8863.552037477493,86.53415659511184,0.19456712901592255,1.0,1236.4334470447666,1628.491140762396,164.9174346923828,0.8941683173179626,0.7392222881317139,0.019106704324195603,0.33111751079559326,163.90211486816406,2.385460376739502,767.0,36.234886169433594,1053.1281012855916,0.18514743447303772,767,767.0,0.0,0.3340040445327759
768.0,0.8955536484718323,38.21018600463867,37.52935791015625,240.171630859375,1284.0989264674588,-297.2613525390625,768000,1000.0,-0.04689044505357742,317.84283447265625,8875.288451910019,86.5323988241443,0.18470053374767303,1.0,1239.6843034602427,1641.3210569725063,165.5159149169922,0.889003336429596,0.7391567230224609,0.019106704324195603,0.32359549403190613,164.31576538085938,2.3853209018707275,768.0,34.070945739746094,1053.8307920589161,0.18521684408187866,768,768.0,0.0,0.32818761467933655
769.0,0.7535465359687805,37.62532043457031,36.84880828857422,240.2691650390625,1285.656394666016,-298.6875305175781,769000,1000.0,-0.04678632691502571,318.3125,8887.030722141266,86.53058867953536,0.17842136323451996,1.0,1237.7936527488744,1636.2469424191208,166.12628173828125,0.7546457052230835,0.7391100525856018,0.018361167303396805,0.5823603272438049,165.27703857421875,2.385791063308716,769.0,105.76496124267578,1054.1450645117138,0.18523329496383667,769,769.0,0.0,0.5796353816986084
770.0,0.7788358926773071,37.03242492675781,36.08064270019531,240.3699493408203,1289.393583993079,-299.21484375,770000,1000.0,-0.046763770282268524,316.4688720703125,8898.862031698227,86.52791753116504,0.18576964735984802,1.0,1239.5484537711277,1402.8294406773343,165.25253295898438,0.7665368914604187,0.7390465140342712,0.020282151651708893,0.5558781623840332,164.3834991455078,2.3858072757720947,770.0,114.04606628417969,1054.8715865217746,0.18529170751571655,770,770.0,0.0,0.5691344141960144
771.0,0.7562652826309204,38.56848907470703,37.452030181884766,240.46786499023438,1290.7014426800379,-296.1520690917969,771000,1000.0,-0.046709850430488586,318.57666015625,8910.644483089447,86.52572790477703,0.1785103678703308,1.0,1241.897775077615,1653.5440134523826,165.1214141845703,0.7644308805465698,0.7391285300254822,0.019490749081111935,0.5843961834907532,164.25543212890625,2.3855865001678467,771.0,220.86781311035156,1055.2053033957948,0.1853501945734024,771,771.0,0.0,0.5729823112487793
772.0,0.771812915802002,37.7507209777832,37.233131408691406,240.5677032470703,1296.6928132158916,-296.74713134765625,772000,1000.0,-0.04664890095591545,317.0458068847656,8922.358051538467,86.5242120458151,0.18993984162807465,1.0,1242.589421254464,1536.0118508460298,165.57217407226562,0.780001163482666,0.7391470074653625,0.019490749081111935,0.5727085471153259,164.3647918701172,2.3854024410247803,772.0,40.78819274902344,1055.8601346231685,0.1854373812675476,772,772.0,0.0,0.5651391744613647
773.0,0.7664704322814941,36.26680374145508,35.78419494628906,240.66624450683594,1300.5766000965662,-296.8226318359375,773000,1000.0,-0.046666260808706284,317.58905029296875,8934.113124370575,86.52229821126865,0.2279748171567917,1.0,1246.6207577661442,1822.816201236314,165.92141723632812,0.7617782354354858,0.739122211933136,0.019882513137642284,0.5659640431404114,164.9311065673828,2.385026693344116,773.0,98.08818054199219,1056.4441127013029,0.18548592925071716,773,773.0,0.0,0.5644278526306152
774.0,0.7648048400878906,36.314857482910156,35.54200744628906,240.76271057128906,1305.3567432619018,-298.0522155761719,774000,1000.0,-0.04677661880850792,318.0328674316406,8945.913028240204,86.51995582302878,0.18689784407615662,1.0,1249.5191482243777,1798.3860644136726,165.78985595703125,0.7592095732688904,0.7390591502189636,0.019490749081111935,0.5610377788543701,164.96755981445312,2.3847997188568115,774.0,128.5394287109375,1056.9061039698909,0.18549859523773193,774,774.0,0.0,0.5631162524223328
775.0,0.764116644859314,36.73823547363281,35.980159759521484,240.86293029785156,1307.7150367548413,-298.6415100097656,775000,1000.0,-0.046806205064058304,318.7228088378906,8957.640185594559,86.51832223026044,0.15259255468845367,1.0,1254.3212097916837,1764.1698258889476,166.0509033203125,0.7693459391593933,0.7389400601387024,0.020282151651708893,0.5603429079055786,165.1455535888672,2.3845927715301514,775.0,67.12942504882812,1057.840214035151,0.18552976846694946,775,775.0,0.0,0.5478993058204651
776.0,0.7908583283424377,35.94629669189453,35.25847625732422,240.96188354492188,1306.8005950879324,-298.32476806640625,776000,1000.0,-0.04678186774253845,316.6986083984375,8969.511183261871,86.51530547708155,0.1776200383901596,1.0,1258.476920073898,1595.1238041308043,165.61631774902344,0.7684059739112854,0.7388072609901428,0.019882513137642284,0.5227811336517334,164.89767456054688,2.3842613697052,776.0,137.0494384765625,1058.7152917481237,0.18557721376419067,776,776.0,0.0,0.5506355166435242
777.0,0.776226818561554,35.456336975097656,34.97676086425781,241.05186462402344,1305.5979135828456,-298.03875732421875,777000,1000.0,-0.04691093787550926,315.9619140625,8981.060517072678,86.51539520560523,0.21084104478359222,1.0,1252.1577582774146,1521.049207029655,166.15573120117188,0.7747229933738708,0.7387703657150269,0.020689822899908242,0.5530434250831604,165.361083984375,2.3841071128845215,777.0,128.32240295410156,1058.6723304064442,0.18553870916366577,777,777.0,0.0,0.5549365878105164
778.0,0.764198899269104,34.119537353515625,33.512779235839844,241.14854431152344,1305.5910447927668,-296.97784423828125,778000,1000.0,-0.047096136957407,317.9756164550781,8992.604696035385,86.51553429708756,0.18272291123867035,1.0,1252.5494386352682,1718.9151005100691,166.7294464111328,0.7604378461837769,0.7386596202850342,0.020689822899908242,0.5622387528419495,165.5360565185547,2.383631706237793,778.0,66.05526733398438,1059.3173873156802,0.1855221539735794,778,778.0,0.0,0.5714693069458008
779.0,0.7587316036224365,32.620452880859375,32.20887756347656,241.245849609375,1306.016610238014,-295.78564453125,779000,1000.0,-0.047290295362472534,317.18255615234375,9004.20106959343,86.5151715270586,0.17603810131549835,1.0,1250.2587658066418,1668.1119344799586,168.26255798339844,0.7623189687728882,0.7385502457618713,0.020689822899908242,0.5675956010818481,167.03187561035156,2.383323907852173,779.0,66.55331420898438,1059.903376288513,0.18553055822849274,779,779.0,0.0,0.5705604553222656
780.0,0.7734766602516174,31.339162826538086,30.725482940673828,241.3407745361328,1306.7675426598141,-297.7539978027344,780000,1000.0,-0.04712009057402611,317.1822204589844,9015.69560289383,86.51578695155126,0.19909276068210602,1.0,1249.5548810900939,1694.9758728859567,168.6145782470703,0.7702175974845886,0.7384273409843445,0.020282151651708893,0.5625629425048828,167.71446228027344,2.3832828998565674,780.0,133.72190856933594,1060.4926504611647,0.18557235598564148,780,780.0,0.0,0.5606064796447754
781.0,0.7976625561714172,29.472427368164062,28.650972366333008,241.43756103515625,1305.7335222759505,-298.598876953125,781000,1000.0,-0.04709507152438164,316.8905029296875,9027.29521369934,86.51539375989346,0.23480412364006042,1.0,1250.2642869923413,1537.8583551575723,170.06561279296875,0.7861031889915466,0.7383188605308533,0.019490749081111935,0.5181155800819397,169.14280700683594,2.3831913471221924,781.0,100.21544647216797,1061.2051027640146,0.18559734523296356,781,781.0,0.0,0.5405421853065491
782.0,0.7678137421607971,28.67333221435547,27.890275955200195,241.5297393798828,1309.8270880818088,-299.2594909667969,782000,1000.0,-0.0472058467566967,318.9497375488281,9038.8021337986,86.5158887675928,0.19419261813163757,1.0,1244.1512893847041,1649.5222753475332,170.54347229003906,0.7801424860954285,0.7382592558860779,0.019882513137642284,0.5598286986351013,169.80770874023438,2.383171558380127,782.0,66.38230895996094,1061.3123773122882,0.1855880320072174,782,782.0,0.0,0.5468651652336121
783.0,0.7781272530555725,29.328121185302734,27.895343780517578,241.62567138671875,1313.2029933028698,-299.9471740722656,783000,1000.0,-0.04710976034402847,318.6043395996094,9050.370804548264,86.51579221555247,0.2491663545370102,1.0,1246.9716895447946,1708.3051347795645,170.13449096679688,0.7785032391548157,0.7381665706634521,0.019882513137642284,0.5278567671775818,169.6322021484375,2.3828916549682617,783.0,88.95720672607422,1061.7458609207072,0.1856277734041214,783,783.0,0.0,0.5339760780334473
784.0,0.7883807420730591,30.27993392944336,28.878732681274414,241.72573852539062,1314.3545945335818,-299.1181945800781,784000,1000.0,-0.047233786433935165,319.0830078125,9061.9050385952,86.5160246836506,0.18941684067249298,1.0,1253.7926593388129,1665.4487887290695,168.9027099609375,0.7816400527954102,0.7380396723747253,0.019882513137642284,0.5278072953224182,168.2683868408203,2.3825483322143555,784.0,163.10617065429688,1062.767924218206,0.1856669932603836,784,784.0,0.0,0.531380832195282
785.0,0.7830227613449097,31.07623863220215,30.294906616210938,241.8223419189453,1314.84720728019,-297.32257080078125,785000,1000.0,-0.04731300100684166,317.576904296875,9073.464606285095,86.51601500227802,0.18698471784591675,1.0,1255.4657581255424,1606.5483967523105,168.74851989746094,0.7886776328086853,0.7379612922668457,0.020282151651708893,0.5478383302688599,167.9375,2.38250732421875,785.0,128.64048767089844,1063.2732463845323,0.18570561707019806,785,785.0,0.0,0.5343165397644043
