total/steps,train/param_noise_distance,rollout/return_history,eval/return,rollout/Q_mean,rollout/actions_mean,total/epochs,reference_actor_Q_std,rollout/actions_std,reference_actor_Q_mean,total/duration,reference_Q_std,train/loss_actor,reference_action_std,eval/return_history,obs_rms_mean,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,train/loss_critic,total/steps_per_second,total/episodes,obs_rms_std,reference_Q_mean,eval/episodes,rollout/episode_steps,rollout/return,eval/Q
38000,0.0,172.83372508982936,262.6551124807428,117.4108657836914,0.0076102036982774734,38,138.81857299804688,0.7119428515434265,173.55538940429688,1521.816505908966,138.35446166992188,-204.49505615234375,0.8951203227043152,214.770884225897,0.1181836798787117,0.0,-0.1131690964102745,38.0,1.0,26.14505386352539,24.97015892024576,38.0,2.401801586151123,172.44403076171875,38.0,1000.0,172.83372508982936,261.3446044921875
39000,0.0,175.46323494640455,65.55884487664142,121.65966796875,0.013101422227919102,39,139.56405639648438,0.7112950086593628,173.60589599609375,1561.94291806221,139.07150268554688,-206.82212829589844,0.8131870627403259,210.944934498993,0.11798973381519318,0.0,0.025965595617890358,39.0,1.0,32.30522537231445,24.968902223638548,39.0,2.403644323348999,172.95126342773438,39.0,1000.0,175.46323494640455,239.79949951171875
40000,0.0,178.78980009127278,-330.24705095069714,125.7011489868164,0.014840217307209969,40,139.72654724121094,0.7115453481674194,174.26956176757812,1602.324711561203,138.5576629638672,-205.49423217773438,0.8932951092720032,197.41513486275076,0.11811451613903046,0.0,-0.1202687919139862,40.0,1.0,11.413304328918457,24.96372908149594,40.0,2.4007506370544434,172.4263153076172,40.0,1000.0,178.78980009127278,282.18121337890625
41000,0.0,183.65234692194937,-232.27539070061965,129.59304809570312,0.014695175923407078,41,141.05087280273438,0.710786759853363,175.02468872070312,1643.0499420166016,140.37728881835938,-208.43319702148438,0.8661602735519409,186.93487814169293,0.1182384043931961,0.0,0.15367896854877472,41.0,1.0,23.986255645751953,24.95359328498472,41.0,2.4112305641174316,173.6281280517578,41.0,1000.0,183.65234692194937,222.04397583007812
42000,0.0,192.7368370130239,683.6564065352565,133.35231018066406,0.018622495234012604,42,142.54104614257812,0.7102676033973694,175.54351806640625,1683.7683174610138,142.40814208984375,-212.74757385253906,0.8954859972000122,198.76158119868256,0.11829252541065216,0.0,0.0698952004313469,42.0,1.0,23.033967971801758,24.94404934720033,42.0,2.4223108291625977,174.9434814453125,42.0,1000.0,192.7368370130239,260.931640625
43000,0.0,194.1044450648602,-68.18362410024778,136.9967803955078,0.02307373471558094,43,143.24728393554688,0.7112065553665161,178.29678344726562,1723.9017052650452,142.904296875,-221.0938720703125,0.8715057373046875,192.55355316847488,0.1157274842262268,0.0,-0.030269498005509377,43.0,1.0,25.138511657714844,24.943417521237887,43.0,2.4201104640960693,174.01861572265625,43.0,1000.0,194.1044450648602,207.0668182373047
44000,0.0,202.648184398097,75.74657243393747,140.66673278808594,0.02892152965068817,44,146.13876342773438,0.7105788588523865,185.84335327148438,1764.5610632896423,145.10040283203125,-225.28152465820312,0.8958461284637451,189.89884906087175,0.11683864891529083,0.0,-0.06554167717695236,44.0,1.0,26.582719802856445,24.93537963371555,44.0,2.434312105178833,184.39859008789062,44.0,1000.0,202.648184398097,206.71307373046875
45000,0.0,214.78309618363824,-197.19978935766318,144.20542907714844,0.03140296787023544,45,144.21408081054688,0.7109330296516418,186.00265502929688,1805.317097902298,143.45745849609375,-227.38003540039062,0.8484988212585449,181.29665709601542,0.11767962574958801,0.0,-0.1307438164949417,45.0,1.0,26.39507484436035,24.926368920057364,45.0,2.4418554306030273,184.44659423828125,45.0,1000.0,214.78309618363824,158.11732482910156
46000,0.0,204.46400444414598,159.07866307270928,147.40733337402344,0.031043019145727158,46,142.6466522216797,0.7124001979827881,187.6155242919922,1845.8725686073303,142.42184448242188,-229.36972045898438,0.8670661449432373,180.81365722594356,0.11256249994039536,0.0,0.03879978135228157,46.0,1.0,39.136863708496094,24.920463515369306,46.0,2.4457967281341553,186.13107299804688,46.0,1000.0,204.46400444414598,295.4751281738281
47000,0.0,199.90621311608265,562.7431155549776,150.5090789794922,0.0328797847032547,47,137.201904296875,0.7132394909858704,188.8362274169922,1885.8859012126923,136.45379638671875,-231.7888641357422,0.8905802369117737,188.93981591379537,0.10976142436265945,0.0,0.13809435069561005,47.0,1.0,41.391761779785156,24.92197431974931,47.0,2.4541375637054443,187.157470703125,47.0,1000.0,199.90621311608265,282.949462890625
