eval/episodes,rollout/episode_steps,total/steps_per_second,total/episodes,reference_actor_Q_mean,train/param_noise_distance,total/steps,obs_rms_std,train/loss_critic,reference_Q_std,param_noise_stddev,reference_actor_Q_std,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,rollout/return,eval/return_history,train/loss_actor,total/epochs,reference_action_std,obs_rms_mean,rollout/actions_mean,eval/return,reference_Q_mean,rollout/Q_mean,rollout/actions_std,reference_perturbed_action_mean,total/duration,eval/Q,reference_perturbed_action_std,rollout/return_history
43.0,687.016129032258,74.86724615199653,62.0,98.01768493652344,0.18139971792697906,43000,0.38785749673843384,9.497848510742188,16.6766357421875,0.034711086666206405,12.992938041687012,0.0,0.10174518823623657,62.0,1.0,-39.49099159322626,60.712618663586305,-91.18512725830078,43,0.3896045982837677,0.023772474378347397,0.08259454369544983,214.0577358809739,96.51907348632812,50.96046447753906,0.5139283537864685,-0.09457220137119293,574.3499622344971,99.98296356201172,0.40268418192863464,-39.49099159322626
44.0,675.796875,74.74359059747724,64.0,99.5271224975586,0.2641490399837494,44000,0.3880801498889923,10.532726287841797,16.959762573242188,0.03540877950819716,12.605079650878906,0.0,0.13765113055706024,64.0,1.0,-35.01014012989288,62.153051951138835,-92.0742416381836,44,0.37860792875289917,0.02391122654080391,0.08457741141319275,124.09168331589763,97.91033172607422,52.095603942871094,0.5116317868232727,0.29607635736465454,588.6792385578156,91.36747741699219,0.33176136016845703,-35.01014012989288
45.0,674.1212121212121,74.49957516294988,66.0,99.61122131347656,0.19923819601535797,45000,0.3881533443927765,9.176342010498047,17.466068267822266,0.036846517945435794,14.8120756149292,0.0,0.09246085584163666,66.0,1.0,-26.996203363472798,69.59882929669803,-93.50171661376953,45,0.40753528475761414,0.024179236963391304,0.08804300427436829,397.21303250130245,98.43798065185547,53.21289825439453,0.5096349120140076,0.23050978779792786,604.0302901268005,103.1528091430664,0.3699338436126709,-26.996203363472798
46.0,670.9411764705883,74.45711864397603,68.0,101.65081024169922,0.16337639093399048,46000,0.3881865441799164,11.100619316101074,18.447431564331055,0.03540877950819716,13.729230880737305,0.0,0.03722701966762543,68.0,1.0,-19.45821205110111,73.66621879318123,-94.54241943359375,46,0.3949296176433563,0.024292917922139168,0.088334821164608,256.6987461349259,99.9450912475586,54.29532241821289,0.5067806839942932,0.0941193550825119,617.8052661418915,103.95947265625,0.3747709393501282,-19.45821205110111
47.0,660.6142857142858,74.40618123944698,70.0,102.9774169921875,0.17934082448482513,47000,0.3885260820388794,6.864811420440674,17.850112915039062,0.03540877950819716,12.0534029006958,0.0,0.118089459836483,70.0,1.0,-15.435706918337116,74.70805099041947,-96.70956420898438,47,0.4106582999229431,0.02430434711277485,0.08761803060770035,122.6323320633783,101.2770004272461,55.376468658447266,0.5043359398841858,0.05461105704307556,631.6679503917694,99.51838684082031,0.4062771201133728,-15.435706918337116
48.0,665.3943661971831,74.27389930607664,71.0,103.35968017578125,0.21618255972862244,48000,0.3883206248283386,14.116044044494629,20.548080444335938,0.03540877950819716,16.975109100341797,0.0,0.038954958319664,71.0,1.0,-5.674109073831845,72.87441176004248,-98.40374755859375,48,0.4439447224140167,0.024434858933091164,0.08760286122560501,-13.306632067676427,101.81373596191406,56.443748474121094,0.5023860335350037,0.09415870904922485,646.2566318511963,98.88410186767578,0.4460591673851013,-5.674109073831845
49.0,653.8378378378378,74.33516659480604,74.0,103.857421875,0.2099067121744156,49000,0.38861536979675293,10.859539031982422,20.719141006469727,0.03335667202186392,19.650177001953125,0.0,-0.023677118122577667,74.0,1.0,-0.564213501734589,67.66369431623265,-99.06707000732422,49,0.414352148771286,0.024226907640695572,0.08329761028289795,-182.4507429866388,102.88350677490234,57.460697174072266,0.5029886364936829,-0.23092103004455566,659.176568031311,87.99637603759766,0.4299927055835724,-0.564213501734589
50.0,658.4533333333334,74.213775591238,75.0,104.36920928955078,0.1783602386713028,50000,0.3885638117790222,13.4766263961792,21.616247177124023,0.032055106170371106,19.77063751220703,0.0,0.16983428597450256,75.0,1.0,-1.9472200087646296,57.49642332424012,-100.78535461425781,50,0.4097995162010193,0.02386367693543434,0.07921542972326279,-440.69985528339373,103.33134460449219,58.44015884399414,0.5024620890617371,0.07622025161981583,673.7293663024902,87.213623046875,0.3912493884563446,-1.9472200087646296
51.0,662.9473684210526,74.22807883110623,76.0,106.64273071289062,0.1947847157716751,51000,0.38953420519828796,8.42953872680664,19.308597564697266,0.03269941380439557,13.979519844055176,0.0,0.16557934880256653,76.0,1.0,4.032534994373812,59.85182522362882,-101.28746032714844,51,0.4526897370815277,0.0236701387912035,0.07819096744060516,177.62192019306386,104.83346557617188,59.429229736328125,0.500590980052948,0.18681780993938446,687.0715341567993,109.51361846923828,0.4127750098705292,4.032534994373812
52.0,648.4556962025316,74.1481045901616,79.0,108.32890319824219,0.1698732078075409,52000,0.3895845115184784,11.531742095947266,16.02577781677246,0.034027141129503384,11.168940544128418,0.0,0.037855684757232666,79.0,1.0,6.493250568423927,58.731262740277934,-101.97785186767578,52,0.4205787777900696,0.023377545177936554,0.0741017609834671,1.5825760893824827,106.70076751708984,60.03224182128906,0.5035715699195862,0.11025791615247726,701.2991132736206,99.03838348388672,0.451015442609787,6.493250568423927
