total/epochs,train/loss_critic,obs_rms_mean,rollout/episode_steps,eval/episodes,rollout/Q_mean,rollout/return_history,total/duration,train/param_noise_distance,eval/Q,rollout/return,reference_Q_mean,total/steps_per_second,total/steps,obs_rms_std,total/episodes,eval/return_history,rollout/episodes,reference_actor_Q_std,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_mean,reference_action_std,ret_rms_std,param_noise_stddev,reference_Q_std,rollout/actions_mean,reference_actor_Q_mean,eval/return,train/loss_actor,rollout/actions_std,reference_action_mean
111,258.03106689453125,-0.047533243894577026,201.33575317604357,111.0,252.2958526611328,315.0577022850387,1643.4588656425476,0.22927226126194,403.3445739746094,252.47409823550848,244.37905883789062,67.54047960707676,111000,1.8999247550964355,551.0,320.8871199010789,551.0,171.91647338867188,0.7249955534934998,0.33526524901390076,0.0,0.6690154075622559,1.0,0.02152991267583435,171.9911346435547,0.5178512334823608,257.238037109375,428.9422455241585,-387.33203125,0.5487716794013977,0.40183982253074646
112,117.5193099975586,-0.04777109622955322,202.37793851717902,112.0,253.39300537109375,315.4851356641593,1656.0401525497437,0.19710993766784668,386.61346435546875,252.82324594733112,251.33367919921875,67.63121040728255,112000,1.9035301208496094,553.0,322.64137389809537,553.0,177.12857055664062,0.6294841170310974,0.4045581817626953,0.0,0.6595563888549805,1.0,0.021962663920618616,175.79058837890625,0.5186504125595093,264.71527099609375,206.51621897638287,-391.8782043457031,0.548563539981842,0.3593159019947052
113,131.0615692138672,-0.04791092127561569,202.52252252252254,113.0,254.0884552001953,314.24089711314815,1667.436810016632,0.22907955944538116,425.9531555175781,252.7263012538579,258.81536865234375,67.76868503872892,113000,1.9042210578918457,555.0,325.52729564588435,555.0,175.3603057861328,0.5653787851333618,0.5107402205467224,0.0,0.6394029259681702,1.0,0.0211056883401964,175.21151733398438,0.5192223191261292,271.5965270996094,432.5572670914501,-394.1938781738281,0.5483476519584656,0.31620845198631287
114,136.27651977539062,-0.04972359538078308,203.30535714285713,114.0,255.0902099609375,310.18859063100933,1678.4225566387177,0.22167754173278809,407.5780334472656,251.99367301722938,272.0681457519531,67.92091750023985,114000,1.9123198986053467,560.0,326.49019635513,560.0,176.84031677246094,0.7104114890098572,0.23457300662994385,0.0,0.7206089496612549,1.0,0.019106704324195603,175.99559020996094,0.5183886289596558,284.34783935546875,371.4224080718542,-389.130859375,0.5488553047180176,0.21655528247356415
115,139.2160186767578,-0.05144741013646126,203.1042402826855,115.0,256.2113952636719,306.8817338713029,1688.2269790172577,0.19582025706768036,368.6895446777344,251.47735200468566,267.93505859375,68.11880240590826,115000,1.9204918146133423,566.0,328.37159996367177,566.0,178.2020721435547,0.598358154296875,0.5019643306732178,0.0,0.5534160137176514,1.0,0.0211056883401964,177.92828369140625,0.5174146890640259,281.06585693359375,337.2075940620597,-394.4901123046875,0.5496269464492798,0.5217932462692261
116,143.98040771484375,-0.05140269547700882,203.3919156414763,116.0,257.512451171875,313.9200640017866,1698.8144562244415,0.26725926995277405,413.7009582519531,252.7851754943878,275.76531982421875,68.28291316628311,116000,1.9235278367996216,569.0,330.44949440513864,569.0,177.32342529296875,0.6470687389373779,0.3585197925567627,0.0,0.6705443859100342,1.0,0.020282151651708893,177.8223114013672,0.5166932940483093,290.6214294433594,461.0606523559042,-394.91949462890625,0.5502963662147522,0.3781101703643799
117,244.2791748046875,-0.051257453858852386,204.1520979020979,117.0,258.8029479980469,324.2424968461314,1709.3990831375122,0.20136317610740662,417.6354064941406,254.03537015600855,277.03851318359375,68.44510515663355,117000,1.9272831678390503,572.0,334.34693880546956,572.0,178.67735290527344,0.6883990168571472,0.28352752327919006,0.0,0.663898766040802,1.0,0.019490749081111935,178.37916564941406,0.5163604617118835,288.7078552246094,565.4982778493057,-395.2098388671875,0.5506219863891602,0.32032760977745056
118,212.06622314453125,-0.053097255527973175,204.07439446366783,118.0,259.9747314453125,329.39675087284945,1719.4824087619781,0.17086783051490784,421.1123352050781,253.7036715270904,269.37286376953125,68.62530224136438,118000,1.9346567392349243,578.0,337.3087511187768,578.0,177.4034881591797,0.6662169694900513,0.3195824921131134,0.0,0.6423829197883606,1.0,0.019490749081111935,179.20481872558594,0.514938235282898,283.28167724609375,479.18288435077,-393.956298828125,0.5517048239707947,0.3485969007015228
119,255.11900329589844,-0.05456949397921562,204.07560137457045,119.0,261.2057189941406,337.4526061717137,1729.5383276939392,0.18734006583690643,401.43524169921875,254.26565198529684,270.1034240722656,68.8044885126468,119000,1.94148588180542,582.0,338.8885814994672,582.0,174.43539428710938,0.641251802444458,0.31543493270874023,0.0,0.6303814649581909,1.0,0.0211056883401964,174.0201873779297,0.5139122605323792,282.58282470703125,320.7626999564998,-396.1543273925781,0.5523005723953247,0.3599085509777069
120,252.9884796142578,-0.05506549030542374,204.39212328767124,120.0,262.2857360839844,332.4450954354639,1740.010986328125,0.19402609765529633,374.7941589355469,253.9664414298399,271.70977783203125,68.96508179711621,120000,1.9433501958847046,584.0,340.43754925109903,584.0,174.78428649902344,0.6317357420921326,0.2952367961406708,0.0,0.5907989144325256,1.0,0.020282151651708893,176.54592895507812,0.5134690999984741,283.4391784667969,346.3640482353785,-398.06280517578125,0.552270770072937,0.4097554683685303
