eval/episodes,rollout/Q_mean,rollout/return_history,ret_rms_std,reference_perturbed_action_mean,train/loss_actor,eval/Q,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,param_noise_stddev,total/steps,eval/return,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_Q_mean,total/episodes,rollout/episodes,total/steps_per_second,total/duration,rollout/return,reference_actor_Q_std,total/epochs,rollout/episode_steps,obs_rms_mean,obs_rms_std,reference_actor_Q_mean,reference_Q_std,eval/return_history,reference_action_mean,train/loss_critic
243.0,197.93089294433594,1442.257426832038,1.0,0.09242194890975952,-314.2442321777344,336.177734375,0.0,0.058022912591695786,0.8148395419120789,0.017297050171870294,243000,1334.62502655086,0.8113974928855896,0.23963779211044312,0.8106237649917603,319.25946044921875,243.0,243.0,39.26174255610762,6189.231149196625,836.2873596502376,2.1461193561553955,243,1000.0,0.08755940198898315,2.4708006381988525,321.6893310546875,2.3702232837677,1602.8216294373403,0.17543767392635345,67.3078842163086
244.0,198.48719787597656,1441.4384766403036,1.0,0.11322018504142761,-315.03240966796875,333.6849670410156,0.0,0.05779446288943291,0.8117061257362366,0.016294603698363365,244000,1175.3269918217027,0.811194896697998,0.22606132924556732,0.7848325371742249,317.56475830078125,244.0,244.0,39.26717820706153,6213.840951681137,837.4600904052635,2.2365260124206543,244,1000.0,0.08757612109184265,2.473574161529541,320.108154296875,2.5048561096191406,1598.8979252354295,0.17838221788406372,61.44550704956055
245.0,199.06881713867188,1438.8135123067948,1.0,0.1119610145688057,-316.27703857421875,339.9733581542969,0.0,0.05771251767873764,0.8263920545578003,0.018361167303396805,245000,1447.473229126422,0.8110474944114685,0.17843051254749298,0.815405547618866,317.5517272949219,245.0,245.0,39.27508702241051,6238.05110502243,839.9437116825243,2.0690102577209473,245,1000.0,0.08761487156152725,2.473714828491211,320.1090087890625,2.0299901962280273,1596.421067495556,0.12188750505447388,67.40191650390625
246.0,199.6296844482422,1431.4018776277155,1.0,0.11035449057817459,-314.54974365234375,342.44415283203125,0.0,0.05702042952179909,0.8009914755821228,0.018361167303396805,246000,1529.9784213831185,0.8110385537147522,0.1641961932182312,0.7850331664085388,317.0958251953125,246.0,246.0,39.28225650419448,6262.36937212944,840.2828619049321,2.573680877685547,246,1000.0,0.08744322508573532,2.4749679565429688,320.1855773925781,2.6538150310516357,1601.1538878225665,0.13757950067520142,113.08686828613281
247.0,200.1986083984375,1427.0159690315077,1.0,0.18121986091136932,-317.1910400390625,342.1835632324219,0.0,0.05694645643234253,0.8506656885147095,0.018361167303396805,247000,1584.7877790287005,0.811223030090332,0.14157886803150177,0.8157473206520081,319.293701171875,247.0,247.0,39.290293973457466,6286.539880990982,842.8270309793625,1.9478801488876343,247,1000.0,0.08755210041999817,2.477099657058716,321.9029846191406,2.0095059871673584,1603.8054035195773,0.15365581214427948,84.59253692626953
248.0,200.77415466308594,1431.4043457474013,1.0,0.05977960303425789,-316.910888671875,345.402587890625,0.0,0.057137589901685715,0.8102579712867737,0.018361167303396805,248000,1972.8113604473224,0.8113493919372559,0.21208904683589935,0.8036472201347351,320.2229309082031,248.0,248.0,39.29848545980497,6310.675770282745,846.5437346938274,2.6401305198669434,248,1000.0,0.08767633885145187,2.4799036979675293,322.861328125,2.495710849761963,1616.0393884307164,0.09335228055715561,135.32614135742188
249.0,201.3473663330078,1438.1620148482898,1.0,0.07008665055036545,-316.3524475097656,336.16680908203125,0.0,0.05690702050924301,0.7997932434082031,0.019106704324195603,249000,1498.5812656349667,0.8113563656806946,0.22643223404884338,0.7642057538032532,320.9005432128906,249.0,249.0,39.302104961782376,6335.538522481918,850.1443345704631,1.9630604982376099,249,1000.0,0.08772198110818863,2.4801530838012695,323.0107421875,2.255073308944702,1619.7927096317474,0.06647146493196487,178.8753662109375
250.0,201.90696716308594,1449.1897940768727,1.0,0.17635177075862885,-316.2204895019531,341.78985595703125,0.0,0.057174745947122574,0.7823734879493713,0.019106704324195603,250000,1946.533411126975,0.8114580512046814,0.23050744831562042,0.8084409832954407,321.61968994140625,250.0,250.0,39.3099182288504,6359.718138933182,854.270296044768,1.749098539352417,250,1000.0,0.08792948722839355,2.4823904037475586,324.0880126953125,1.843971848487854,1625.261382123311,0.23344570398330688,77.57392120361328
251.0,202.45986938476562,1451.1647206989658,1.0,0.19384317100048065,-316.8764953613281,339.0418395996094,0.0,0.057176731526851654,0.8080824613571167,0.018730226766195082,251000,1538.2804211594234,0.8114691376686096,0.17274627089500427,0.7749764323234558,320.5296630859375,251.0,251.0,39.31804000798441,6383.838053703308,857.6651676534227,1.6714808940887451,251,1000.0,0.08803708106279373,2.484498977661133,322.29986572265625,1.7284574508666992,1630.779866987618,0.2046682983636856,153.230224609375
252.0,203.0084228515625,1459.743334038052,1.0,0.15611036121845245,-318.1026916503906,340.67303466796875,0.0,0.05667522922158241,0.8066105246543884,0.019106704324195603,252000,1480.6966513133755,0.8115077018737793,0.191423699259758,0.79428631067276,318.87017822265625,252.0,252.0,39.32231521556873,6408.574841499329,860.2222800121265,1.6972875595092773,252,1000.0,0.08811105787754059,2.4868805408477783,321.3638610839844,1.7124855518341064,1629.3471763422888,0.12778329849243164,208.91397094726562
253.0,203.54525756835938,1456.9418811291316,1.0,0.083616703748703,-320.0121154785156,337.60052490234375,0.0,0.05622928962111473,0.8045998215675354,0.018361167303396805,253000,1075.845194196579,0.8115435838699341,0.18960081040859222,0.7889045476913452,321.2320556640625,253.0,253.0,39.327010741389756,6433.237493276596,861.0309930161576,2.0903007984161377,253,1000.0,0.08804475516080856,2.4907164573669434,323.8330383300781,1.8286408185958862,1627.774609407603,0.04870332404971123,26.533611297607422
254.0,204.06576538085938,1458.1080738862624,1.0,-0.02441355027258396,-317.76611328125,333.1435852050781,0.0,0.056162744760513306,0.7713536024093628,0.017999379770019416,254000,886.6970452099486,0.8115274310112,0.186895951628685,0.7959199547767639,320.0652160644531,254.0,254.0,39.33166563279572,6457.900928258896,862.8242691000773,1.7088377475738525,254,1000.0,0.08815483748912811,2.4944024085998535,322.2196044921875,1.8014702796936035,1621.2244350653812,0.06930810213088989,127.59436798095703
255.0,204.5579833984375,1449.5652614578544,1.0,0.11004385352134705,-315.3052673339844,336.42181396484375,0.0,0.05568057671189308,0.840761125087738,0.017644720880324885,255000,1249.0524688443643,0.8113535046577454,0.204365536570549,0.8136823177337646,319.33282470703125,255.0,255.0,39.33531506888964,6482.724227666855,862.2918436128738,2.399977684020996,255,1000.0,0.08810432255268097,2.4979419708251953,321.8973388671875,2.534818649291992,1621.1234804517046,0.05349908396601677,79.28913116455078
256.0,205.05445861816406,1449.5371911190866,1.0,0.20321476459503174,-316.3057556152344,341.8530578613281,0.0,0.055273767560720444,0.7637587189674377,0.017644720880324885,256000,2127.6168273057838,0.8112968802452087,0.18999329209327698,0.7806564569473267,318.9888916015625,256.0,256.0,39.342154917794964,6507.015198707581,862.8331689929084,2.386337995529175,256,1000.0,0.08811894059181213,2.5010550022125244,321.2808837890625,2.2123818397521973,1623.7637098816188,0.17859338223934174,153.58782958984375
257.0,205.57940673828125,1451.8453689239864,1.0,0.03360878303647041,-314.1863098144531,343.56658935546875,0.0,0.055384427309036255,0.7273344993591309,0.017644720880324885,257000,2259.515356353093,0.8113036155700684,0.23086059093475342,0.7574625611305237,319.09967041015625,257.0,257.0,39.347627663866916,6531.524649858475,865.3862593942454,4.1652679443359375,257,1000.0,0.08820004016160965,2.505044937133789,321.5887756347656,4.554352283477783,1630.4875237470624,0.09497568756341934,159.1914825439453
258.0,206.1029510498047,1454.505936554954,1.0,0.09380259364843369,-313.35931396484375,342.96954345703125,0.0,0.05536273121833801,0.7894020676612854,0.018361167303396805,258000,1959.6877291490425,0.8112610578536987,0.21446000039577484,0.7708628177642822,317.5997314453125,258.0,258.0,39.35437832892149,6555.81439614296,869.416177746662,2.992797374725342,258,1000.0,0.08849938213825226,2.5076370239257812,319.57598876953125,3.02608323097229,1636.9249373857647,0.07671449333429337,128.72804260253906
259.0,206.61131286621094,1455.4261702318588,1.0,0.1409379094839096,-314.56817626953125,344.0934143066406,0.0,0.05548028275370598,0.780917227268219,0.018730226766195082,259000,1811.8303573209046,0.811292290687561,0.22680328786373138,0.7140279412269592,319.6737060546875,259.0,259.0,39.359234249798504,6580.412575006485,871.4913994330334,2.121483564376831,259,1000.0,0.08860671520233154,2.5103535652160645,322.5503234863281,2.0837221145629883,1647.3271385380133,0.07671380043029785,66.5328140258789
260.0,207.08807373046875,1452.6420095110886,1.0,0.06312412768602371,-313.53948974609375,343.5339050292969,0.0,0.05569107457995415,0.7835325002670288,0.018361167303396805,260000,1988.5909163886513,0.8112841248512268,0.20803023874759674,0.7244263887405396,318.09295654296875,260.0,260.0,39.36410982689916,6605.001386880875,871.9859900263425,2.5087058544158936,260,1000.0,0.0887267142534256,2.512758255004883,320.73876953125,2.421782970428467,1654.9828694879795,-0.020564215257763863,42.352962493896484
261.0,207.61338806152344,1463.6471914228553,1.0,0.10768693685531616,-312.11688232421875,341.67584228515625,0.0,0.05594140291213989,0.7452202439308167,0.019106704324195603,261000,1918.5785884563793,0.8113448023796082,0.20458383858203888,0.7531205415725708,316.93658447265625,261.0,261.0,39.36714351461633,6629.894289970398,876.7183565265486,2.073881149291992,261,1000.0,0.0888899490237236,2.513599157333374,319.6023254394531,2.525078296661377,1660.7285906585032,0.07166559249162674,184.0121612548828
262.0,208.12501525878906,1477.6134913837325,1.0,0.00981342326849699,-313.4306945800781,343.2636413574219,0.0,0.05582745373249054,0.8046500086784363,0.019882513137642284,262000,1960.344259261215,0.8114311695098877,0.2553660571575165,0.7540078163146973,317.3853759765625,262.0,262.0,39.37146408370665,6654.565840959549,880.207407118346,2.1251089572906494,262,1000.0,0.08900297433137894,2.5145082473754883,319.5941467285156,2.1045703887939453,1668.2225374882141,0.11052733659744263,154.15859985351562
