eval/episodes,rollout/Q_mean,obs_rms_std,train/loss_actor,eval/return,rollout/return_history,ret_rms_mean,train/loss_critic,ret_rms_std,reference_action_mean,reference_Q_mean,rollout/episode_steps,rollout/actions_std,reference_actor_Q_std,rollout/episodes,reference_Q_std,param_noise_stddev,reference_perturbed_action_mean,total/duration,total/episodes,eval/Q,eval/return_history,total/steps,total/epochs,rollout/actions_mean,reference_action_std,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return,train/param_noise_distance,obs_rms_mean,total/steps_per_second
567.0,105.17688751220703,0.36582887172698975,-118.34693145751953,634.5414222790704,190.52590845723668,0.0,17.567346572875977,1.0,-0.3376939296722412,-87.10816955566406,845.2432835820896,0.5305008292198181,102.84584045410156,670.0,102.94683837890625,0.02960235274322695,-0.4144217073917389,8024.012823343277,670.0,159.1937255859375,388.3279315240437,567000,567,0.020296422764658928,0.8427112698554993,0.7944813966751099,-85.45173645019531,-63.56757695077726,0.20768852531909943,0.019374659284949303,70.662898039058
568.0,105.2623062133789,0.3659041225910187,-120.90721893310547,524.797988048052,197.01402592774616,0.0,11.646734237670898,1.0,-0.2450650930404663,-87.23870849609375,845.4739195230999,0.5302966833114624,105.13043212890625,671.0,105.10916137695312,0.028447279136688073,-0.2600107789039612,8037.544318675995,671.0,151.79010009765625,389.4848882264728,568000,568,0.020333614200353622,0.8805384635925293,0.8711363077163696,-85.40730285644531,-62.6563501620972,0.208222895860672,0.01936393231153488,70.66835061552298
569.0,105.35795593261719,0.3659704327583313,-118.54435729980469,364.96248687701984,195.28539557246856,0.0,18.018224716186523,1.0,-0.22718414664268494,-85.99447631835938,845.703869047619,0.5300984978675842,105.07376098632812,672.0,104.84937286376953,0.030804326970036468,-0.21179820597171783,8052.789863348007,672.0,159.5928955078125,389.6857109205817,569000,569,0.02058660238981247,0.9028129577636719,0.8952506184577942,-84.60462951660156,-61.9589696134325,0.19585967063903809,0.01937800645828247,70.65874183427829
570.0,105.45242309570312,0.3660159409046173,-119.30587005615234,326.3902504733561,201.80474586175626,0.0,36.688411712646484,1.0,-0.2630658745765686,-87.70410919189453,845.9331352154531,0.5298835039138794,105.49322509765625,673.0,105.03106689453125,0.0314234939421342,-0.3149510324001312,8066.265067815781,673.0,148.12789916992188,389.22091994363944,570000,570,0.02080918662250042,0.8761252760887146,0.864800214767456,-86.68711853027344,-61.10004710103816,0.1843116134405136,0.019391348585486412,70.66467506433521
571.0,105.54238891601562,0.36619657278060913,-118.57868957519531,-367.335482385009,202.26199814062105,0.0,26.098918914794922,1.0,-0.25770702958106995,-89.41795349121094,845.7911111111111,0.5296565890312195,105.91702270507812,675.0,105.8064193725586,0.02960235274322695,-0.2470514327287674,8081.561436653137,675.0,104.35761260986328,381.59802116220095,571000,571,0.020915944129228592,0.8853245973587036,0.8820388317108154,-88.04500579833984,-59.48246515586716,0.20883062481880188,0.01939682848751545,70.65466302220818
572.0,105.60951232910156,0.3662843108177185,-116.62593078613281,858.4953261283548,200.2011646785363,0.0,25.615310668945312,1.0,-0.19865399599075317,-89.53546142578125,846.0192307692307,0.5295662879943848,104.9671859741211,676.0,104.74320220947266,0.029019069447335507,-0.21569767594337463,8096.627247095108,676.0,155.02865600585938,383.60231043540705,572000,572,0.020896535366773605,0.8920897245407104,0.887309730052948,-88.25205993652344,-59.03380812874655,0.20713752508163452,0.019375599920749664,70.64670047706852
573.0,105.66221618652344,0.36627355217933655,-120.4194107055664,20.540620048757457,197.15202485802612,0.0,31.509544372558594,1.0,-0.279664546251297,-90.91521453857422,846.2466765140325,0.5296103954315186,105.00784301757812,677.0,104.52630615234375,0.030804326970036468,-0.3798806667327881,8110.321347951889,677.0,118.76087188720703,380.63960786783537,573000,573,0.020907646045088768,0.8639556765556335,0.8201197385787964,-89.6374282836914,-59.333229787835855,0.18802347779273987,0.019425446167588234,70.65071473952145
574.0,105.34880828857422,0.3662629723548889,-120.09906005859375,571.5969505059395,195.05183699439127,0.0,40.12122344970703,1.0,-0.22006015479564667,-90.38309478759766,845.2772861356932,0.5304945707321167,104.58844757080078,678.0,104.55583190917969,0.02960235274322695,-0.15865281224250793,8123.313587903976,678.0,156.9364776611328,379.0909567970915,574000,574,0.020948443561792374,0.8753237724304199,0.8867840766906738,-88.85984802246094,-59.07624191397442,0.22253884375095367,0.01940278336405754,70.66082009375029
575.0,105.3900375366211,0.36644691228866577,-121.29784393310547,761.0668008253538,180.37181288661566,0.0,34.706443786621094,1.0,-0.27229583263397217,-93.34400939941406,844.287812041116,0.5304011702537537,104.83322143554688,681.0,104.76724243164062,0.030197360033365813,-0.3306196630001068,8138.354863882065,681.0,158.2725830078125,381.8012468985691,575000,575,0.021061468869447708,0.8696323037147522,0.8492019176483154,-91.53804016113281,-61.68235335616386,0.20149216055870056,0.019410235807299614,70.65309999590262
576.0,105.47270202636719,0.36649659276008606,-119.92420959472656,-287.03256573733916,178.5942144831272,0.0,46.94532775878906,1.0,-0.1138429045677185,-92.12004089355469,844.516129032258,0.5302151441574097,105.07588195800781,682.0,104.89663696289062,0.030804326970036468,-0.15442922711372375,8151.002643823624,682.0,43.581600189208984,371.56820805618145,576000,576,0.021281221881508827,0.896653950214386,0.8948141932487488,-90.51565551757812,-61.177823595697696,0.19377408921718597,0.01942780241370201,70.66615300836159
577.0,105.07205200195312,0.36643311381340027,-119.71910095214844,-377.9267206735932,150.35192869768335,0.0,47.2938117980957,1.0,-0.004711546003818512,-93.33061218261719,844.7437774524158,0.531212329864502,104.70133972167969,683.0,104.38825225830078,0.030804326970036468,-0.016421295702457428,8164.242652893066,683.0,61.546897888183594,361.169962738439,577000,577,0.021316876634955406,0.9068539142608643,0.9092178344726562,-91.85206604003906,-64.79926984080515,0.24146538972854614,0.019442828372120857,70.67403855219018
578.0,105.15367126464844,0.36650463938713074,-118.5542221069336,507.1875195521701,145.42942344279427,0.0,30.918380737304688,1.0,0.0003871992230415344,-95.37361145019531,844.1622807017544,0.5309614539146423,106.21381378173828,684.0,105.83484649658203,0.0320551061703711,-0.04731668531894684,8179.554905176163,684.0,161.90577697753906,361.2663526268924,578000,578,0.021294696256518364,0.9194048047065735,0.9139001965522766,-94.03759765625,-64.45089515910333,0.19270288944244385,0.01944773457944393,70.66399170867253
579.0,105.23076629638672,0.3665340840816498,-121.21439361572266,342.77731989592274,148.34473188537817,0.0,26.348613739013672,1.0,0.006546668708324432,-96.46842193603516,844.3897810218978,0.5307466387748718,107.34451293945312,685.0,106.86009216308594,0.0320551061703711,-0.08043317496776581,8192.30908036232,685.0,157.55250549316406,362.61012782125965,579000,579,0.021323295310139656,0.9060949087142944,0.9135605096817017,-95.23637390136719,-63.45320948370553,0.20168642699718475,0.019462717697024345,70.67604436311046
580.0,105.28947448730469,0.3665271997451782,-120.26197052001953,-1645.6481772420047,167.42508046644747,0.0,30.533092498779297,1.0,-0.08053071051836014,-96.91703796386719,844.6166180758017,0.530641496181488,107.51364135742188,686.0,107.10810852050781,0.03269941380439556,0.11711708456277847,8206.692161798477,686.0,-68.30940246582031,339.406989929705,580000,580,0.021398155018687248,0.9137677550315857,0.9153391122817993,-95.44414520263672,-62.932288472727286,0.21705417335033417,0.01947948709130287,70.67402901985962
