eval/episodes,rollout/Q_mean,rollout/return_history,ret_rms_std,train/loss_actor,eval/Q,ret_rms_mean,rollout/actions_mean,total/steps,eval/return,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_Q_mean,total/episodes,rollout/episodes,total/steps_per_second,total/duration,reference_actor_Q_std,rollout/return,total/epochs,rollout/episode_steps,obs_rms_mean,obs_rms_std,reference_actor_Q_mean,reference_Q_std,eval/return_history,reference_action_mean,train/loss_critic
889.0,524.85400390625,2449.0925877946647,1.0,-583.0266723632812,602.0835571289062,0.0,0.019072385504841805,889000,2607.706192578718,0.6824632883071899,0.0,0.8322515487670898,548.394775390625,889.0,889.0,45.29133802695823,19628.47729229927,10.367276191711426,1914.5515967160275,889,1000.0,0.1251067966222763,2.7621283531188965,550.88232421875,10.766580581665039,3153.865224492686,0.08769307285547256,291.26727294921875
890.0,524.9449462890625,2446.8638853567936,1.0,-583.2642822265625,611.124755859375,0.0,0.019048981368541718,890000,3594.9447996995236,0.6824910640716553,0.0,0.8093813061714172,546.972412109375,890.0,890.0,45.29152817296574,19650.47407102585,8.814765930175781,1915.3411724631135,890,1000.0,0.12517432868480682,2.762345790863037,549.8920288085938,8.779348373413086,3154.7906829082863,0.19128714501857758,449.44366455078125
891.0,525.0297241210938,2446.3713119616405,1.0,-584.3924560546875,549.290283203125,0.0,0.018984902650117874,891000,2803.3337812550208,0.6825156807899475,0.0,0.7764565348625183,546.4683227539062,891.0,891.0,45.29353091128957,19671.683396577835,10.425570487976074,1915.816490519322,891,1000.0,0.12516267597675323,2.762866497039795,549.040283203125,10.009337425231934,3148.109388279242,0.1923035830259323,307.09649658203125
892.0,525.069580078125,2440.738811020431,1.0,-584.173095703125,602.8197021484375,0.0,0.019079796969890594,892000,2903.588114349607,0.6825557351112366,0.0,0.8236352801322937,545.874267578125,892.0,892.0,45.29518595085225,19693.042014837265,10.79231071472168,1916.2186030424946,892,1000.0,0.1251770257949829,2.7633557319641113,548.4183349609375,10.692852973937988,3141.908817886277,0.13605204224586487,355.8101806640625
893.0,525.158447265625,2439.4680243455045,1.0,-583.106201171875,609.05419921875,0.0,0.01906403712928295,893000,3577.9003802584934,0.6826038360595703,0.0,0.7839667797088623,543.8316040039062,893.0,893.0,45.297138998665424,19714.26937198639,10.430813789367676,1917.1151339530788,893,1000.0,0.12518493831157684,2.7638468742370605,547.5045166015625,11.045307159423828,3144.4441196469193,0.3021615445613861,133.0406494140625
894.0,525.2503662109375,2451.062685124225,1.0,-583.858642578125,548.4357299804688,0.0,0.019122524186968803,894000,2561.105216644215,0.6826230883598328,0.0,0.8252965807914734,542.0712280273438,894.0,894.0,45.29902544836629,19735.523913621902,10.696881294250488,1918.2694547041895,894,1000.0,0.12521050870418549,2.76446533203125,545.779296875,10.941421508789062,3139.049403603931,0.15152066946029663,525.1089477539062
895.0,525.3392944335938,2454.098677157805,1.0,-585.6157836914062,548.8964233398438,0.0,0.0190865658223629,895000,2422.3054201562654,0.6826438307762146,0.0,0.8636298775672913,541.6196899414062,895.0,895.0,45.30105675283166,19756.713510751724,12.481852531433105,1919.3232220905738,895,1000.0,0.125219464302063,2.7650630474090576,544.7020263671875,11.911348342895508,3129.875859846067,0.10614106804132462,245.97909545898438
896.0,525.425048828125,2451.265927754854,1.0,-588.9490356445312,611.8197021484375,0.0,0.019046097993850708,896000,2945.8126362517337,0.6826401352882385,0.0,0.7969569563865662,545.074951171875,896.0,896.0,45.301638911600314,19778.53387928009,11.785832405090332,1919.7594804647329,896,1000.0,0.12520942091941833,2.765321969985962,547.8807373046875,11.27511215209961,3126.7289639364176,-0.06185271218419075,289.8462219238281
897.0,525.5189819335938,2452.7834731339367,1.0,-590.080810546875,340.5165100097656,0.0,0.019059738144278526,897000,504.30920183978014,0.6826551556587219,0.0,0.8018583655357361,548.2939453125,897.0,897.0,45.30358883724888,19799.755891799927,11.784092903137207,1920.6498469877713,897,1000.0,0.12522587180137634,2.7656989097595215,552.0401611328125,11.87808609008789,3099.820167898776,-0.11898257583379745,251.55393981933594
898.0,525.2247314453125,2430.930986253343,1.0,-589.7626953125,428.7716979980469,0.0,0.018790360540151596,898000,1296.6778650590702,0.682848334312439,0.0,0.7890191674232483,545.8826293945312,898.0,898.0,45.305545832137554,19820.972984790802,12.588301658630371,1918.6370548843443,898,1000.0,0.12524540722370148,2.767720937728882,547.9810791015625,12.537659645080566,3080.1584251858444,-0.0748637393116951,187.13882446289062
