eval/return_history,train/param_noise_distance,rollout/actions_mean,total/epochs,obs_rms_std,obs_rms_mean,reference_actor_Q_std,ret_rms_std,eval/episodes,ret_rms_mean,rollout/return_history,total/duration,eval/Q,total/steps_per_second,rollout/episodes,rollout/return,eval/return,train/loss_actor,reference_Q_std,reference_Q_mean,reference_action_std,rollout/episode_steps,total/episodes,train/loss_critic,total/steps,rollout/Q_mean,reference_action_mean,rollout/actions_std,reference_actor_Q_mean
2377.4413439046475,0.0,-0.2985302209854126,789,2.181185483932495,0.026797182857990265,13.25679874420166,1.0,789.0,0.0,1849.2860267575822,10616.271700620651,479.4798889160156,74.3198763416985,789.0,1446.136958243072,2320.6776600993117,-463.6930847167969,13.041733741760254,437.5032653808594,0.8594307899475098,1000.0,789.0,347.0724182128906,789000,408.90643310546875,-0.09888120740652084,0.6237156391143799,440.521728515625
2375.9639989388334,0.0,-0.2986242473125458,790,2.1809983253479004,0.026795368641614914,12.342578887939453,1.0,790.0,0.0,1852.2236488493872,10630.092033624649,480.1195983886719,74.31732458205498,790.0,1446.9875929473985,2042.6015583306817,-465.040771484375,12.130464553833008,437.9259338378906,0.7891007661819458,1000.0,790.0,147.3726043701172,790000,408.9960632324219,-0.25762537121772766,0.6236795783042908,440.25482177734375
2372.4677502763875,0.0,-0.298740953207016,791,2.1808385848999023,0.02679162472486496,12.897383689880371,1.0,791.0,0.0,1851.270239286042,10643.946139097214,480.858154296875,74.31454365355236,791.0,1447.6837227601156,2255.887371498309,-465.8469543457031,12.573712348937988,437.5661315917969,0.7965736389160156,1000.0,791.0,71.82337188720703,791000,409.0851745605469,-0.13249313831329346,0.6236347556114197,439.6156005859375
2373.546214135767,0.0,-0.2987591326236725,792,2.1805896759033203,0.026792792603373528,14.297809600830078,1.0,792.0,0.0,1852.6970692076707,10657.861722946167,481.974853515625,74.3113412979303,792.0,1448.2491005073052,2338.6601605544943,-465.2236633300781,13.911396026611328,437.3565368652344,0.778287410736084,1000.0,792.0,289.4682312011719,792000,409.1718444824219,-0.15488563477993011,0.623602569103241,439.47265625
2368.8900428275865,0.0,-0.29885733127593994,793,2.1805033683776855,0.02679063379764557,14.738636016845703,1.0,793.0,0.0,1856.2839250153138,10671.712254524231,481.60589599609375,74.30860025895196,793.0,1448.693581369537,2139.6558508846815,-465.2685241699219,14.234684944152832,439.428466796875,0.7949524521827698,1000.0,793.0,150.43820190429688,793000,409.25933837890625,-0.2692023813724518,0.6235465407371521,442.646240234375
2367.1362735275193,0.0,-0.2987857758998871,794,2.180412530899048,0.02680158242583275,13.672354698181152,1.0,794.0,0.0,1854.6032834626533,10685.601497888565,482.0884094238281,74.3055971305772,794.0,1449.3459749949495,2188.5233076399163,-465.32440185546875,14.389652252197266,438.9809265136719,0.8556080460548401,1000.0,794.0,349.5046081542969,794000,409.3472595214844,-0.044953603297472,0.6235353350639343,441.29876708984375
2360.9530017542584,0.0,-0.29870662093162537,795,2.180567979812622,0.026824841275811195,12.267505645751953,1.0,795.0,0.0,1858.6088873879262,10699.454955101013,482.5978088378906,74.30285031677994,795.0,1449.8624109292605,2195.3361525873242,-463.8304443359375,13.16694450378418,438.63995361328125,0.8090049624443054,1000.0,795.0,281.21929931640625,795000,409.43328857421875,-0.07895255833864212,0.623504102230072,441.60418701171875
2358.0971646299486,0.0,-0.29865598678588867,796,2.180422067642212,0.02685144729912281,11.74044132232666,1.0,796.0,0.0,1863.0020582260681,10713.285775184631,483.5932922363281,74.30026760266104,796.0,1450.4452603079535,2314.795523439952,-466.3094787597656,13.973347663879395,443.5155334472656,0.7769874930381775,1000.0,796.0,219.85263061523438,796000,409.5212097167969,-0.16923187673091888,0.6234960556030273,448.0021057128906
2350.182560054741,0.0,-0.2987346947193146,797,2.1799306869506836,0.026846440508961678,12.447789192199707,1.0,797.0,0.0,1863.5471322591877,10727.118931770325,481.0658874511719,74.29767536552045,797.0,1450.54031586323,2026.7108154046575,-465.7079162597656,13.709943771362305,445.1461181640625,0.82152259349823,1000.0,797.0,11.371198654174805,797000,409.6050720214844,-0.10001960396766663,0.623443603515625,447.407470703125
2343.7856679939778,0.0,-0.2984486222267151,798,2.179948091506958,0.026858240365982056,13.156944274902344,1.0,798.0,0.0,1849.9614304904853,10741.045307397842,482.3287048339844,74.29444501554997,798.0,1449.8775805526204,2079.882188293656,-466.5491027832031,13.311224937438965,442.90924072265625,0.7691226005554199,1000.0,798.0,61.135093688964844,798000,409.6734313964844,0.008643646724522114,0.6235242486000061,445.105224609375
2344.7406183735616,0.0,-0.2985721528530121,799,2.1801183223724365,0.026853272691369057,11.869767189025879,1.0,799.0,0.0,1844.7340287490972,10754.881751537323,485.3081970214844,74.29184424884907,799.0,1450.2134473214885,2794.275382745501,-465.02081298828125,12.349784851074219,441.90533447265625,0.7117215991020203,1000.0,799.0,214.91830444335938,799000,409.75750732421875,0.2730382978916168,0.6234660148620605,444.00579833984375
2344.2141775389414,0.0,-0.2986498475074768,800,2.179762363433838,0.026883190497756004,12.094123840332031,1.0,800.0,0.0,1846.6121147933782,10768.740099906921,483.2015075683594,74.28909905690033,800.0,1451.0150156443613,2365.8552660792875,-464.9813537597656,13.051502227783203,442.30157470703125,0.7821085453033447,1000.0,800.0,288.7987365722656,800000,409.84735107421875,0.04899342730641365,0.6234586834907532,444.50518798828125
2343.2062922614464,0.0,-0.29859495162963867,801,2.1797776222229004,0.02690170519053936,12.517491340637207,1.0,801.0,0.0,1843.5878227926487,10782.560052394867,484.06768798828125,74.28662544959288,801.0,1451.741960798224,2487.087267781125,-465.4908142089844,13.675168991088867,437.62933349609375,0.8164364099502563,1000.0,801.0,169.22927856445312,801000,409.9349060058594,0.0537240207195282,0.6234203577041626,438.3551025390625
2341.4062842087424,0.0,-0.2987481355667114,802,2.1795318126678467,0.02689003385603428,12.430027961730957,1.0,802.0,0.0,1848.9771815959832,10796.425180912018,482.36419677734375,74.28384734401983,802.0,1452.5036647259606,2497.43774453275,-463.44879150390625,13.14513111114502,438.55926513671875,0.8246310949325562,1000.0,802.0,432.1290283203125,802000,410.0234069824219,-0.14521263539791107,0.623394250869751,440.92388916015625
