total/epochs,total/steps_per_second,train/loss_critic,rollout/episodes,reference_Q_std,total/episodes,eval/return_history,rollout/return_history,total/duration,eval/Q,rollout/Q_mean,eval/episodes,reference_action_std,reference_perturbed_action_mean,eval/return,obs_rms_std,train/param_noise_distance,rollout/actions_mean,reference_actor_Q_mean,param_noise_stddev,reference_actor_Q_std,train/loss_actor,rollout/actions_std,reference_perturbed_action_std,rollout/episode_steps,total/steps,ret_rms_mean,obs_rms_mean,reference_Q_mean,rollout/return,reference_action_mean,ret_rms_std
36,61.96464219013681,4.480763912200928,43.0,2.2517476081848145,43.0,-204.015343489454,-290.9889075295455,580.9764847755432,79.37052917480469,25.911563873291016,36.0,0.30866461992263794,0.004517115652561188,250.01903520199033,0.3715822398662567,0.17569153010845184,-0.022430766373872757,81.40489196777344,0.03269941380439557,2.363162040710449,-54.018062591552734,0.5865758061408997,0.3800468444824219,834.7674418604652,36000,0.0,0.01844124123454094,80.17431640625,-290.9889075295455,-0.05750761553645134,1.0
37,61.6785872166215,3.871023178100586,44.0,2.3599276542663574,44.0,-188.22308758882198,-277.32157913680726,599.8840386867523,84.8187484741211,27.378772735595703,37.0,0.3511928915977478,-0.0788155049085617,380.298124833931,0.37087586522102356,0.1905515044927597,-0.019672749564051628,84.74446105957031,0.034027141129503384,2.2729883193969727,-57.64744186401367,0.5829450488090515,0.42261436581611633,838.5227272727273,37000,0.0,0.01849091425538063,83.40187072753906,-277.32157913680726,-0.1984330415725708,1.0
38,61.36851700134557,7.843817710876465,46.0,2.1107382774353027,46.0,-187.98547302080146,-259.3633160310225,619.2100095748901,61.65910339355469,28.67211151123047,38.0,0.33915653824806213,-0.016948841512203217,-179.19373400404226,0.37026455998420715,0.19994035363197327,-0.02237451635301113,87.32086181640625,0.03540877950819716,2.1542458534240723,-60.27547836303711,0.5796710848808289,0.3452202081680298,825.195652173913,38000,0.0,0.018516352400183678,86.35874938964844,-259.3633160310225,-0.07059872150421143,1.0
39,61.422611268900745,3.2920725345611572,47.0,2.5672693252563477,47.0,-182.04451403811365,-241.38076323151,634.9453270435333,77.11138153076172,30.201122283935547,39.0,0.38357725739479065,0.17489317059516907,43.71192730402295,0.3694343864917755,0.19989575445652008,-0.021227477118372917,88.88470458984375,0.034027141129503384,2.6239607334136963,-62.525306701660156,0.5749114751815796,0.36055922508239746,828.9148936170212,39000,0.0,0.018733827397227287,87.45890808105469,-241.38076323151,0.0011528469622135162,1.0
40,61.51175271617629,4.39005184173584,48.0,2.318565845489502,48.0,-192.12122543455493,-238.31051016072465,650.2822344303131,49.31049728393555,31.1437931060791,40.0,0.2746882736682892,0.1313226819038391,-585.1129698957682,0.36956971883773804,0.1915934830904007,-0.01979808881878853,91.12791442871094,0.034027141129503384,2.4494521617889404,-62.909515380859375,0.5744212865829468,0.3124426305294037,832.4791666666666,40000,0.0,0.018533511087298393,90.02427673339844,-238.31051016072465,0.15554210543632507,1.0
41,61.362501071417114,6.598907470703125,49.0,2.199740409851074,49.0,-201.04341567648495,-250.10191132357141,668.1605098247528,49.56720733642578,31.699859619140625,41.0,0.38634735345840454,0.09651826322078705,-557.9310253536868,0.3691346347332001,0.178631991147995,-0.01970965415239334,93.41548156738281,0.03335667202186392,2.1900744438171387,-66.09635925292969,0.5776447653770447,0.3561582565307617,835.8979591836735,41000,0.0,0.018511762842535973,92.07731628417969,-250.10191132357141,0.1092882752418518,1.0
42,61.257896459992956,5.484430313110352,50.0,2.2997689247131348,50.0,-201.28240291175166,-260.816266741708,685.6258935928345,85.71640014648438,31.901670455932617,42.0,0.3675033450126648,0.08008599281311035,-211.0808795576871,0.36837485432624817,0.16990534961223602,-0.01716892048716545,95.51876831054688,0.03335667202186392,2.401555061340332,-66.34420013427734,0.580226480960846,0.3926229774951935,839.18,42000,0.0,0.01864372380077839,94.30093383789062,-260.816266741708,0.10192441195249557,1.0
43,61.24684459298009,5.341633319854736,51.0,11.743851661682129,51.0,-213.74666983074192,-254.9046266242669,702.0769851207733,56.64374542236328,33.35810089111328,43.0,0.33853834867477417,-0.10066103935241699,-737.2458804283317,0.3677137792110443,0.20774340629577637,-0.014376290142536163,95.50245666503906,0.03540877950819716,10.414958953857422,-69.28300476074219,0.5783212184906006,0.351396769285202,842.3333333333334,43000,0.0,0.019104819744825363,93.74263000488281,-254.9046266242669,-0.009992098435759544,1.0
44,61.25699317617327,5.9499287605285645,52.0,2.4401280879974365,52.0,-222.25370542173368,-252.60877509072796,718.2853372097015,64.96471405029297,34.444488525390625,44.0,0.3206840753555298,-0.0808584988117218,-588.0562358343789,0.36745837330818176,0.1830262690782547,-0.01890494115650654,99.40243530273438,0.034711086666206405,2.425323963165283,-69.24906158447266,0.5775672197341919,0.33782824873924255,845.3653846153846,44000,0.0,0.01886521838605404,98.23285675048828,-252.60877509072796,-0.07927189022302628,1.0
45,61.123687741317475,7.922480583190918,53.0,3.8895301818847656,53.0,-221.39885759264573,-248.21271187121084,736.2121243476868,75.40681457519531,35.82857131958008,45.0,0.32424357533454895,-0.038427695631980896,-183.7855531127753,0.36678335070610046,0.18912293016910553,-0.021113306283950806,101.15814208984375,0.034711086666206405,2.6182971000671387,-72.09954071044922,0.5759857892990112,0.38177552819252014,848.2830188679245,45000,0.0,0.01879061944782734,99.69338989257812,-248.21271187121084,0.027876613661646843,1.0
