rollout/Q_mean,param_noise_stddev,eval/return_history,reference_action_mean,total/epochs,obs_rms_mean,eval/Q,total/steps_per_second,total/episodes,reference_actor_Q_std,rollout/actions_std,reference_perturbed_action_mean,eval/return,total/duration,rollout/actions_mean,rollout/return,rollout/return_history,rollout/episode_steps,train/loss_critic,total/steps,train/param_noise_distance,rollout/episodes,train/loss_actor,ret_rms_std,reference_Q_std,obs_rms_std,ret_rms_mean,eval/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,reference_action_std
64.93038177490234,0.019106704324195603,422.4430835466633,-0.11678256094455719,806,0.017959024757146835,106.25579833984375,68.03985801130774,1268.0,2.8354949951171875,0.5592042207717896,-0.12159843742847443,593.975477876908,11845.99767780304,0.03880596533417702,-137.93113789748352,345.98291049882505,635.5425867507886,25.480846405029297,806000,0.21145077049732208,1268.0,-76.91336059570312,1.0,2.8515751361846924,0.3877464532852173,0.0,806.0,0.351493775844574,109.65387725830078,108.94620513916016,0.36857977509498596
64.98794555664062,0.019106704324195603,420.82901581056217,-0.14176899194717407,807,0.017980359494686127,106.18109130859375,68.04277510479919,1269.0,2.8693430423736572,0.5590080618858337,-0.04564464092254639,254.30913109123907,11860.186460018158,0.038824692368507385,-137.45416589646197,345.4038204003295,635.8297872340426,34.5347900390625,807000,0.1421094834804535,1269.0,-79.16992950439453,1.0,2.887693405151367,0.3877177834510803,0.0,807.0,0.4268129765987396,110.27175903320312,109.61490631103516,0.42516395449638367
65.04452514648438,0.018730226766195082,420.71461008342357,-0.10257349908351898,808,0.017980245873332024,107.85426330566406,68.03157200664019,1270.0,2.711751699447632,0.5587583184242249,-0.22024887800216675,370.9266394569585,11876.83859372139,0.0387904979288578,-136.73869871198409,352.27985249961284,636.1165354330709,20.52918243408203,808000,0.2230108231306076,1270.0,-78.23274230957031,1.0,2.731358528137207,0.38767778873443604,0.0,808.0,0.38874104619026184,110.30514526367188,109.87162780761719,0.3718052804470062
65.09489440917969,0.018361167303396805,429.80041804132054,-0.12014773488044739,809,0.01798439957201481,109.28742218017578,68.01825952985016,1271.0,2.6251895427703857,0.5586907267570496,-0.19950689375400543,445.19357161722064,11893.86505317688,0.038670241832733154,-136.54719584988638,353.44502571977466,635.7710464201416,34.346195220947266,809000,0.20676495134830475,1271.0,-79.72358703613281,1.0,2.630946636199951,0.3876613676548004,0.0,809.0,0.42222994565963745,110.8570327758789,110.07072448730469,0.4548383355140686
65.14579772949219,0.018361167303396805,431.77953577213754,-0.10447978228330612,810,0.017988039180636406,107.25833129882812,68.0078914904142,1273.0,2.579559564590454,0.5585301518440247,0.009517375379800797,464.60584547567333,11910.382490158081,0.03860766813158989,-135.96128376744323,357.1491326397288,636.1068342498036,40.19285583496094,810000,0.18588677048683167,1273.0,-81.00330352783203,1.0,2.626023769378662,0.3877037763595581,0.0,810.0,0.42303141951560974,111.08196258544922,110.43797302246094,0.397734671831131
65.2015151977539,0.017999379770019416,435.36855714789175,-0.15956294536590576,811,0.017990432679653168,107.3631362915039,67.99352271040598,1274.0,2.5411386489868164,0.5583513379096985,-0.18264728784561157,644.4924854034638,11927.606743574142,0.038482196629047394,-135.53679677670706,360.93265710444507,636.392464678179,47.354244232177734,811000,0.16423852741718292,1274.0,-82.16661834716797,1.0,2.568362236022949,0.38768795132637024,0.0,811.0,0.44064876437187195,111.12763214111328,110.5522232055664,0.3311297297477722
65.25601959228516,0.017999379770019416,440.5089897761113,-0.19657002389431,812,0.01798621192574501,107.53514099121094,67.98530584578398,1275.0,2.4666988849639893,0.5581875443458557,-0.08034791052341461,322.99500131243065,11943.7574031353,0.03834652900695801,-135.1975573875065,356.6546603525443,636.6776470588235,37.75830078125,812000,0.15511924028396606,1275.0,-79.88207244873047,1.0,2.519808530807495,0.38767462968826294,0.0,812.0,0.4405275583267212,110.81918334960938,110.30775451660156,0.3628624379634857
65.31005096435547,0.017999379770019416,444.3755912022326,-0.2004028558731079,813,0.017978252843022346,108.4300537109375,67.9735545188546,1276.0,2.187225341796875,0.5579952597618103,-0.3555324077606201,559.6769890588471,11960.533854007721,0.038270555436611176,-134.72127310869962,356.8681579381217,636.9623824451411,31.38465118408203,813000,0.17153103649616241,1276.0,-79.99290466308594,1.0,2.228379964828491,0.38765016198158264,0.0,813.0,0.32652121782302856,110.77130126953125,110.31058502197266,0.3541264533996582
65.37035369873047,0.017999379770019416,447.1648628622805,-0.1019926592707634,814,0.017970874905586243,108.2520751953125,67.96126193415029,1277.0,2.1974165439605713,0.5578445792198181,-0.03638483211398125,417.3714961554829,11977.411496400833,0.03790311515331268,-134.36858190426523,359.76602003380196,637.2466718872357,38.51384735107422,814000,0.18939679861068726,1277.0,-83.43363952636719,1.0,2.246042251586914,0.38756877183914185,0.0,814.0,0.3936402499675751,110.87261962890625,110.22602081298828,0.4053342938423157
65.42291259765625,0.018361167303396805,449.6260428950454,-0.12909410893917084,815,0.017972733825445175,110.63480377197266,67.95010090575825,1278.0,2.111556053161621,0.5576742887496948,0.07992777228355408,427.99118636508894,11994.095507383347,0.0378141887485981,-133.79375089704644,362.60845685552295,637.5305164319249,49.52957534790039,815000,0.2105759084224701,1278.0,-81.7707290649414,1.0,2.0953238010406494,0.3875413239002228,0.0,815.0,0.44673916697502136,110.50569152832031,109.8175048828125,0.452513724565506
65.47728729248047,0.018361167303396805,455.90839454152666,-0.1160484328866005,816,0.017994610592722893,111.1432113647461,67.94147004037657,1279.0,2.1969006061553955,0.5574867129325867,-0.1954614520072937,729.7573872878827,12010.33771443367,0.03785022348165512,-133.40303686838948,364.52433119670764,637.8139171227522,35.959800720214844,816000,0.2603652775287628,1279.0,-81.8277587890625,1.0,2.1693992614746094,0.38748711347579956,0.0,816.0,0.4979259669780731,110.93778991699219,110.36396789550781,0.42905858159065247
65.54124450683594,0.017999379770019416,458.09815216207693,-0.2563589811325073,817,0.01800691708922386,112.02950286865234,67.93124031093504,1280.0,2.306427240371704,0.5572794675827026,-0.14770102500915527,574.7821132354086,12026.867112398148,0.03771086782217026,-132.88928276971774,367.17306272760527,638.096875,23.335779190063477,817000,0.28482383489608765,1280.0,-84.94796752929688,1.0,2.334871292114258,0.38743099570274353,0.0,817.0,0.46413347125053406,111.25106811523438,110.51549530029297,0.3785277307033539
65.60359191894531,0.018730226766195082,464.41167863488124,-0.22413718700408936,818,0.018028436228632927,107.20582580566406,67.91940321514065,1281.0,2.2198939323425293,0.5570665597915649,-0.32398682832717896,355.2998612846784,12043.686506032944,0.037651870399713516,-132.2952593866383,367.5577096762418,638.3793911007026,33.7473258972168,818000,0.23153817653656006,1281.0,-82.72042846679688,1.0,2.267362117767334,0.38737866282463074,0.0,818.0,0.32582247257232666,110.58277130126953,110.04348754882812,0.35276859998703003
65.65518188476562,0.019106704324195603,468.08813926286314,-0.0975138321518898,819,0.018022578209638596,111.13192749023438,67.90804935008374,1282.0,2.3171722888946533,0.5568944215774536,-0.16431498527526855,566.5694065694859,12060.425941228867,0.03748135641217232,-131.97179591904745,369.19687970350134,638.6614664586583,36.15585708618164,819000,0.1834688037633896,1282.0,-83.91598510742188,1.0,2.332289457321167,0.387351393699646,0.0,819.0,0.35493770241737366,110.78512573242188,110.0820083618164,0.3558308482170105
65.70921325683594,0.019106704324195603,468.4289489114483,-0.017460957169532776,820,0.018016697838902473,109.96797180175781,67.90509169273156,1283.0,2.3755650520324707,0.5566953420639038,-0.20749428868293762,431.799396416726,12075.677678346634,0.03734728693962097,-131.41055840262433,368.29864256315415,638.9431021044427,29.9809627532959,820000,0.17555777728557587,1283.0,-83.62810516357422,1.0,2.359835624694824,0.3873269259929657,0.0,820.0,0.39938437938690186,110.98117065429688,110.44335174560547,0.3651599884033203
