train/loss_actor,total/episodes,rollout/return,eval/episodes,rollout/Q_mean,reference_Q_std,total/steps_per_second,reference_Q_mean,ret_rms_mean,eval/Q,reference_action_mean,train/loss_critic,reference_perturbed_action_mean,rollout/episodes,total/duration,rollout/return_history,train/param_noise_distance,reference_perturbed_action_std,reference_action_std,reference_actor_Q_std,reference_actor_Q_mean,rollout/actions_mean,rollout/episode_steps,total/steps,total/epochs,ret_rms_std,rollout/actions_std,eval/return,obs_rms_mean,param_noise_stddev,obs_rms_std,eval/return_history
-144.4883270263672,39.0,-137.32381928263828,39.0,72.05899810791016,2.6042559146881104,23.919415875833312,150.8834991455078,0.0,133.6889190673828,0.1431143432855606,13.43533706665039,0.17508912086486816,39.0,1630.474598646164,-137.32381928263828,0.1885841339826584,0.6045984625816345,0.6328370571136475,2.4289021492004395,152.28033447265625,0.007874970324337482,1000.0,39000,39,1.0,0.7322959303855896,-150.3659241076132,0.08498840034008026,0.01695622994987775,2.241964101791382,-132.81056514185735
-146.10499572753906,40.0,-128.57074095284196,40.0,74.08220672607422,2.270975351333618,23.934726704258253,152.152587890625,0.0,157.57369995117188,0.07428186386823654,17.095388412475586,0.06370679289102554,40.0,1671.2118961811066,-128.57074095284196,0.17102063447237015,0.6536788940429688,0.6519943475723267,2.3547215461730957,153.08445739746094,0.009548384696245193,1000.0,40000,40,1.0,0.7295289039611816,-174.0593630973887,0.08552009612321854,0.01662212523270047,2.243605613708496,-133.8417850907456
-145.5702667236328,41.0,-134.71868131277566,41.0,75.2375717163086,2.3524184226989746,23.94656835555248,152.88284301757812,0.0,156.96670532226562,0.13695880770683289,15.73569107055664,0.05749688670039177,41.0,1712.1451137065887,-134.71868131277566,0.19154581427574158,0.6534005999565125,0.6450966000556946,2.1813766956329346,153.97308349609375,0.010335260070860386,1000.0,41000,41,1.0,0.7342073321342468,-185.28122294850132,0.08786600828170776,0.015047793132436803,2.292632579803467,-135.0964055263006
-144.1214141845703,42.0,-137.02569402800887,42.0,77.11248016357422,2.060089588165283,23.97071005255447,152.0283203125,0.0,150.18701171875,0.22991007566452026,15.494346618652344,0.2875513732433319,42.0,1752.1383349895477,-137.02569402800887,0.18250593543052673,0.658868134021759,0.6494243144989014,2.0473201274871826,153.23101806640625,0.01694357581436634,1000.0,42000,42,1.0,0.7320239543914795,158.0077086184561,0.08703998476266861,0.015350253774398782,2.2678518295288086,-128.11773614190164
-143.14788818359375,43.0,-130.08715714676134,43.0,78.8780288696289,1.952200174331665,23.994679752536562,150.80908203125,0.0,146.16481018066406,0.14609232544898987,19.71163558959961,0.16240018606185913,43.0,1792.0639259815216,-130.08715714676134,0.2049887254834175,0.6607022881507874,0.65363609790802,1.9279049634933472,151.7091064453125,0.018291326239705086,1000.0,43000,43,1.0,0.7315124273300171,25.096630176267716,0.08791594952344894,0.015047793132436803,2.2735981941223145,-124.55461134380468
-141.87847900390625,44.0,-129.2903412127861,44.0,80.06808471679688,1.945860743522644,24.01755954377232,149.9827880859375,0.0,151.71495056152344,0.16149263083934784,12.492844581604004,0.2311195582151413,44.0,1831.9929599761963,-129.2903412127861,0.20517561584711075,0.5884397625923157,0.5917235016822815,1.9924098253250122,151.08023071289062,0.020097991451621056,1000.0,44000,44,1.0,0.7327394485473633,391.0197723663957,0.08949019759893417,0.015047793132436803,2.304708480834961,-112.8370117140274
-140.74168395996094,45.0,-120.84900434321273,45.0,81.64479064941406,1.8678089380264282,24.03864714617699,149.5694580078125,0.0,151.18048095703125,0.13804137706756592,11.392023086547852,0.06493888050317764,45.0,1871.985545873642,-120.84900434321273,0.21072186529636383,0.6709093451499939,0.6283043026924133,1.8923102617263794,150.51327514648438,0.01888236217200756,1000.0,45000,45,1.0,0.7302053570747375,99.89354691096048,0.09009220451116562,0.015047793132436803,2.3021528720855713,-108.10966596680545
-140.98094177246094,46.0,-109.81435657341369,46.0,83.15156555175781,1.8631210327148438,24.060469397539396,149.50576782226562,0.0,123.81932830810547,0.10787281394004822,13.588706970214844,0.03895771875977516,46.0,1911.849650144577,-109.81435657341369,0.19030679017305374,0.6935486197471619,0.6636011004447937,1.9720224142074585,150.58238220214844,0.018326329067349434,1000.0,46000,46,1.0,0.7284011840820312,-257.88493201704966,0.09094497561454773,0.0156587938752642,2.306642770767212,-111.36565001137596
-140.00730895996094,47.0,-116.2910031928415,47.0,83.86185455322266,1.858508586883545,24.079280328591164,148.75473022460938,0.0,108.185546875,-0.009350955486297607,19.106233596801758,0.05623655393719673,47.0,1951.885577917099,-116.2910031928415,0.17735754698514938,0.6737692356109619,0.660602331161499,1.9797635078430176,149.2998046875,0.017379654571413994,1000.0,47000,47,1.0,0.7315854430198669,-97.2740212431053,0.09211195260286331,0.014751292160020392,2.351414680480957,-111.06582812268935
-138.7174072265625,48.0,-109.55120278621933,48.0,84.27786254882812,2.128072738647461,24.09830246258927,148.4185791015625,0.0,149.37855529785156,0.2046690732240677,9.277841567993164,0.07988160848617554,48.0,1991.8415446281433,-109.55120278621933,0.19453153759241104,0.6622888445854187,0.5961765646934509,2.3870933055877686,149.3111572265625,0.014491266570985317,1000.0,48000,48,1.0,0.7362760901451111,169.2591629467999,0.09598034620285034,0.014751292160020392,2.4021289348602295,-105.22572414207502
-137.2989044189453,49.0,-104.68003423904247,49.0,85.59398651123047,2.2686638832092285,24.11671961891502,148.37979125976562,0.0,149.36305236816406,0.1277429759502411,16.689359664916992,0.1022849977016449,49.0,2031.7854490280151,-104.68003423904247,0.20046506822109222,0.6777867078781128,0.6590850353240967,2.405677080154419,149.56967163085938,0.014185667969286442,1000.0,49000,49,1.0,0.7348134517669678,214.6053032416559,0.09643906354904175,0.014751292160020392,2.3992433547973633,-98.69856031791726
-135.95350646972656,50.0,-105.55638738636858,50.0,85.89990997314453,2.2559986114501953,24.13416066156849,149.69488525390625,0.0,140.98500061035156,0.24031679332256317,4.190897464752197,0.18420644104480743,50.0,2071.752181529999,-105.55638738636858,0.19015789031982422,0.6520155668258667,0.6352017521858215,2.3674559593200684,150.70872497558594,0.01143045723438263,1000.0,50000,50,1.0,0.7389857769012451,-11.070861981677876,0.097715362906456,0.014751292160020392,2.4412832260131836,-96.94600635119247
