rollout/episodes,reference_action_std,reference_action_mean,eval/return,rollout/return_history,reference_actor_Q_mean,eval/return_history,total/epochs,reference_Q_mean,total/steps,reference_perturbed_action_std,ret_rms_std,train/loss_critic,rollout/Q_mean,obs_rms_std,reference_actor_Q_std,rollout/actions_mean,total/steps_per_second,param_noise_stddev,reference_perturbed_action_mean,rollout/actions_std,total/duration,total/episodes,obs_rms_mean,rollout/return,rollout/episode_steps,train/param_noise_distance,eval/Q,train/loss_actor,reference_Q_std,ret_rms_mean,eval/episodes
1289.0,0.6897829174995422,0.39619970321655273,2034.1799555722198,989.2827477932901,432.72991943359375,1280.655099850839,492,422.7773132324219,492000,0.6832597255706787,1.0,1068.041748046875,420.97430419921875,1.9230988025665283,238.85879516601562,0.43433111906051636,79.33523345606277,0.015047793132436803,0.3896772861480713,0.6195802688598633,6201.532138586044,1289.0,-0.0829344242811203,550.9892724729405,381.5089216446858,0.1587425023317337,693.49609375,-629.684326171875,242.9712677001953,0.0,492.0
1291.0,0.767464280128479,0.2629624307155609,1851.763792736343,984.7688329845062,432.7961120605469,1281.8597391660335,493,423.3114929199219,493000,0.7902712821960449,1.0,381.63397216796875,421.489990234375,1.9232958555221558,236.140625,0.43425750732421875,79.31015509545801,0.015047793132436803,0.2985242009162903,0.6195732951164246,6216.101827144623,1291.0,-0.08298394083976746,551.465291857356,381.4368706429125,0.21195200085639954,691.4760131835938,-632.7537231445312,240.57437133789062,0.0,493.0
1292.0,0.7221010327339172,0.3535524904727936,988.4342308236292,993.515610428419,433.55072021484375,1274.4576891488407,494,423.8220520019531,494000,0.781995952129364,1.0,384.6261291503906,421.9993591308594,1.9245150089263916,235.86253356933594,0.4341377019882202,79.30018270941022,0.015350253774398782,0.22345082461833954,0.6196266412734985,6229.493843793869,1292.0,-0.08305522799491882,551.955649877285,381.63080495356036,0.21655265986919403,671.8198852539062,-636.7120361328125,241.1547393798828,0.0,494.0
1294.0,0.7475340962409973,0.35110166668891907,1430.8567602895516,1010.5100527031867,436.831787109375,1273.297131669637,495,426.2000427246094,495000,0.7486101388931274,1.0,394.7330017089844,422.3738098144531,1.925736427307129,233.09031677246094,0.43402883410453796,79.28451163547022,0.015047793132436803,0.34752416610717773,0.6197644472122192,6243.337945699692,1294.0,-0.08308915793895721,552.8470373025559,381.9435857805255,0.23722486197948456,663.7403564453125,-634.756103515625,238.68226623535156,0.0,495.0
1298.0,0.7153401374816895,0.366160124540329,534.1755814446791,998.7557779072596,439.3241271972656,1271.1427260694136,496,427.87420654296875,496000,0.7483348250389099,1.0,387.221923828125,422.71240234375,1.9256591796875,231.01034545898438,0.43397992849349976,79.28429015065963,0.014460633428115275,0.2663125693798065,0.6198217868804932,6255.968225955963,1298.0,-0.0832986906170845,552.7345618056532,381.8775038520801,0.22272871434688568,630.2093505859375,-635.4028930664062,236.78961181640625,0.0,496.0
1300.0,0.6941357254981995,0.4256381690502167,1161.2691339289565,1002.6427002871371,437.9085998535156,1265.4675565090938,497,426.7716369628906,497000,0.7188794016838074,1.0,557.3153686523438,423.2182922363281,1.9249348640441895,229.9419708251953,0.43421614170074463,79.27969179939222,0.015350253774398782,0.3892554044723511,0.6196498870849609,6268.94465303421,1300.0,-0.08346118777990341,553.1160673519137,382.28846153846155,0.18132954835891724,645.33740234375,-632.5809326171875,235.80152893066406,0.0,497.0
1302.0,0.7967609167098999,0.24401134252548218,537.113163972995,1007.1791459799242,446.06134033203125,1266.386830883619,498,435.5968017578125,498000,0.7660443186759949,1.0,635.7567749023438,423.7569580078125,1.9257705211639404,230.94760131835938,0.43419918417930603,79.28148372728523,0.014751292160020392,0.33950725197792053,0.6196379661560059,6281.416247367859,1302.0,-0.08352970331907272,553.7642499225948,382.37941628264207,0.17893141508102417,689.2626953125,-637.0223388671875,236.3665313720703,0.0,498.0
1304.0,0.7156016230583191,0.33693695068359375,801.5150305404702,1005.4701633427026,444.270263671875,1268.9448725791187,499,434.812744140625,499000,0.7603150010108948,1.0,740.7745971679688,424.2877197265625,1.925647258758545,229.58917236328125,0.43408530950546265,79.28188441938691,0.014460633428115275,0.3173699676990509,0.619560182094574,6293.997722864151,1304.0,-0.08363258093595505,553.3903664897897,382.07515337423314,0.1831664890050888,676.7750854492188,-637.5822143554688,233.66323852539062,0.0,499.0
1306.0,0.7227472066879272,0.3394951820373535,1416.1404385049968,1011.5242824937877,430.67962646484375,1270.4059006778007,500,420.0336608886719,500000,0.7098768353462219,1.0,431.2464599609375,424.7917175292969,1.926324725151062,236.0537567138672,0.4339507818222046,79.27614979065396,0.015350253774398782,0.4186969995498657,0.6196102499961853,6307.067148447037,1306.0,-0.08375817537307739,554.0077653850739,382.40275650842267,0.2299966961145401,683.4202880859375,-629.3919677734375,241.85745239257812,0.0,500.0
1307.0,0.7770785093307495,0.26438257098197937,291.4581714370721,1017.1200835659045,436.25762939453125,1264.4855286945406,501,426.3548583984375,501000,0.718364417552948,1.0,413.639404296875,425.341796875,1.925836205482483,236.70980834960938,0.433728963136673,79.28532580342825,0.015350253774398782,0.3466683328151703,0.6197161078453064,6318.949880361557,1307.0,-0.08393344283103943,554.5401018958812,382.58454475899003,0.20925715565681458,710.939208984375,-633.6534423828125,242.68350219726562,0.0,501.0
