total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
31000,0.7069922089576721,0.0,31.0,31,42.81700763551946,86.66267395019531,78.97816467285156,1.0,1000.0,-221.97759005422753,93.18832397460938,141.4175089743866,0.8418214321136475,0.0,-145.12680053710938,15.060688018798828,0.11616218835115433,31.0,-0.10831543803215027,31.0,2.0242223739624023,161.95339965820312,163.19546508789062,93.8075942993164,1168.0285503864288,42.81700763551946,-0.03528641164302826,26.54044714039225
32000,0.7072601318359375,0.0,32.0,32,38.596220478514944,86.772216796875,210.88037109375,1.0,1000.0,269.62031653910464,94.84025573730469,145.42384671078406,0.8121886849403381,0.0,-144.36053466796875,20.938232421875,0.1158454418182373,32.0,-0.11393273621797562,32.0,2.0143001079559326,161.86203002929688,162.8267364501953,95.08846282958984,1204.1592767238617,38.596220478514944,0.0934935212135315,26.574557551108956
33000,0.7100534439086914,0.0,33.0,33,28.07197464202173,85.47003936767578,208.6082763671875,1.0,1000.0,-235.16251236276003,96.63350677490234,133.8909267388585,0.8696730732917786,0.0,-140.429931640625,33.322669982910156,0.11450373381376266,33.0,-0.12464623153209686,33.0,2.0028860569000244,161.27725219726562,163.14768981933594,96.37359619140625,1239.950544834137,28.07197464202173,0.07558662444353104,26.613964675836545
34000,0.7096924781799316,0.0,34.0,34,21.86847489987133,89.14543914794922,214.6572265625,1.0,1000.0,150.271325128825,99.07759857177734,134.3727031620928,0.837529718875885,0.0,-147.00099182128906,21.700143814086914,0.11347731947898865,34.0,-0.1268899291753769,34.0,2.0043153762817383,164.12518310546875,165.55459594726562,99.01229858398438,1277.7006113529205,21.86847489987133,0.15041570365428925,26.61030267802594
35000,0.7095229625701904,0.0,35.0,35,23.688460937237135,92.77618408203125,212.11715698242188,1.0,1000.0,-109.23008959338279,101.38526153564453,127.4126233690792,0.7934879660606384,0.0,-145.9515838623047,18.821226119995117,0.11393005400896072,35.0,-0.12071046233177185,35.0,2.0061826705932617,165.61825561523438,167.07485961914062,102.02721405029297,1315.8784573078156,23.688460937237135,-0.19679391384124756,26.5982012287117
36000,0.7103608846664429,0.0,36.0,36,19.017843789421985,96.12496948242188,215.533203125,1.0,1000.0,98.40140103137145,102.16258239746094,126.60675608192065,0.7335938811302185,0.0,-148.41583251953125,14.379075050354004,0.11256280541419983,36.0,-0.11687427759170532,36.0,2.0032267570495605,165.45172119140625,167.15652465820312,101.70189666748047,1353.7925961017609,19.017843789421985,-0.11737819761037827,26.591961060846266
37000,0.7107369303703308,0.0,37.0,37,23.099804148363148,99.39055633544922,217.6158447265625,1.0,1000.0,222.19125664492017,103.17436981201172,129.1901209620017,0.8458433747291565,0.0,-150.77098083496094,35.07223129272461,0.11264023184776306,37.0,-0.11321640759706497,37.0,2.000744342803955,163.21188354492188,164.819091796875,103.8304443359375,1390.486759185791,23.099804148363148,0.07492678612470627,26.609386788886507
38000,0.7119482755661011,0.0,38.0,38,18.2483325243797,98.69525146484375,132.11729431152344,1.0,1000.0,105.58273194556189,103.40047454833984,128.56887388262172,0.7763572335243225,0.0,-148.22015380859375,23.408132553100586,0.11315041780471802,38.0,-0.11347604542970657,38.0,1.9876704216003418,163.87025451660156,165.09402465820312,103.69197082519531,1426.8545966148376,18.2483325243797,0.11419304460287094,26.632005875128176
39000,0.7162687182426453,0.0,39.0,39,9.764144525525365,96.24417877197266,222.47607421875,1.0,1000.0,366.4462768452932,103.64122009277344,134.66829447140816,0.8174617290496826,0.0,-145.51593017578125,28.771909713745117,0.11372146010398865,39.0,-0.11569280922412872,39.0,1.97243070602417,165.68942260742188,166.9959259033203,104.26641845703125,1463.5383203029633,9.764144525525365,0.0612330324947834,26.647747762372706
40000,0.715283215045929,0.0,40.0,40,14.587426806101139,99.43280792236328,187.85076904296875,1.0,1000.0,215.06247537681747,106.1126480102539,136.6781489940434,0.764294445514679,0.0,-149.58155822753906,31.652301788330078,0.11391076445579529,40.0,-0.11357632279396057,40.0,1.976660966873169,168.21917724609375,169.25735473632812,106.65592193603516,1501.7943739891052,14.587426806101139,0.13039857149124146,26.634804799375402
41000,0.7179775834083557,0.0,41.0,41,10.762236643219705,98.55714416503906,58.10628890991211,1.0,1000.0,-256.9558950718396,105.50871276855469,127.07731865097308,0.8385718464851379,0.0,-150.41802978515625,23.65814781188965,0.11519764363765717,41.0,-0.11020445823669434,41.0,1.9699974060058594,170.01927185058594,171.32369995117188,106.06588745117188,1536.9223279953003,10.762236643219705,-0.07908564805984497,26.676689675969996
42000,0.7228749990463257,0.0,42.0,42,-0.3768761937679956,95.2225341796875,28.345449447631836,1.0,1000.0,-317.19423930137634,107.24909210205078,116.49942441401238,0.8461441993713379,0.0,-146.3772430419922,26.82154083251953,0.11616679280996323,42.0,-0.11047376692295074,42.0,1.9522550106048584,172.78192138671875,173.95692443847656,107.84970092773438,1573.2131230831146,-0.3768761937679956,0.006675999611616135,26.696955030282375
43000,0.7233934998512268,0.0,43.0,43,-1.2513638102797826,98.31459045410156,127.58595275878906,1.0,1000.0,142.91701730397287,107.91739654541016,117.1137870393603,0.8361865878105164,0.0,-149.6934051513672,26.410415649414062,0.11572245508432388,43.0,-0.1078021228313446,43.0,1.951055645942688,174.11428833007812,174.86199951171875,108.23057556152344,1609.2375683784485,-1.2513638102797826,0.043784577399492264,26.72072840266154
