eval/return_history,total/steps,total/steps_per_second,param_noise_stddev,eval/return,total/episodes,ret_rms_mean,obs_rms_std,reference_perturbed_action_mean,reference_Q_mean,train/loss_actor,reference_action_std,total/epochs,total/duration,rollout/return,rollout/episode_steps,reference_Q_std,reference_perturbed_action_std,train/loss_critic,rollout/actions_std,ret_rms_std,rollout/return_history,rollout/episodes,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,eval/episodes,reference_action_mean,reference_actor_Q_mean,obs_rms_mean,eval/Q,rollout/Q_mean
2144.1299799259605,324000,27.564365703624645,0.018361167303396805,2201.4506795253974,324.0,0.0,2.537287712097168,0.20161229372024536,435.6900634765625,-427.2491760253906,0.7501946091651917,324,11754.306392669678,1246.692428234923,1000.0,3.208951473236084,0.7685236930847168,226.2252197265625,0.6710183024406433,1.0,1805.8016938767,324.0,3.4168198108673096,0.1762409806251526,0.19032316654920578,324.0,0.2708440124988556,438.251953125,0.12627798318862915,465.99139404296875,355.75225830078125
2145.9187655767228,325000,27.555548763421875,0.019490749081111935,2157.3417085570786,325.0,0.0,2.5377018451690674,0.1817232370376587,433.6373291015625,-424.85113525390625,0.7599499225616455,325,11794.357745885849,1244.7454232555383,1000.0,3.0966925621032715,0.7697252631187439,298.7598571777344,0.6717218160629272,1.0,1791.5035949381788,325.0,3.490678071975708,0.17536161839962006,0.2457583248615265,325.0,0.21751372516155243,435.5625,0.1262071579694748,463.3196105957031,355.5448913574219
2148.283451705656,326000,27.54392089464551,0.018730226766195082,2515.867992308462,326.0,0.0,2.5382583141326904,0.15826407074928284,434.42633056640625,-425.2445983886719,0.7736665606498718,326,11835.64247250557,1248.4218464880262,1000.0,3.2496044635772705,0.7691022753715515,142.80882263183594,0.6716517806053162,1.0,1790.0499418214426,326.0,3.4025893211364746,0.1752346307039261,0.1921418383717537,326.0,0.20300914347171783,437.31402587890625,0.12620200216770172,466.5624084472656,355.88092041015625
2157.164678238933,327000,27.531405987822268,0.019106704324195603,2532.405385823649,327.0,0.0,2.5407793521881104,0.09147942066192627,434.3647766113281,-425.8114929199219,0.7568813562393188,327,11877.34473657608,1246.6093161898355,1000.0,3.5856523513793945,0.751923143863678,83.14979553222656,0.6724081635475159,1.0,1773.0531413053366,327.0,3.7683465480804443,0.1738552451133728,0.1777793988585472,327.0,0.010994325391948223,436.2871398925781,0.1261221021413803,467.8778381347656,355.5157165527344
2161.404213869523,328000,27.524912283915544,0.018730226766195082,2444.5441849485696,328.0,0.0,2.542194128036499,0.326143741607666,438.4464416503906,-429.9696350097656,0.7219977378845215,328,11916.477575540543,1247.636784380049,1000.0,3.5068747997283936,0.6987106800079346,167.4167938232422,0.672538697719574,1.0,1767.500967224114,328.0,3.9546940326690674,0.17374391853809357,0.17672070115804672,328.0,0.2680714428424835,440.56732177734375,0.12614992260932922,469.7052917480469,355.8245849609375
2162.294790618971,329000,27.517619225030167,0.017297050171870294,2004.8248890795553,329.0,0.0,2.5424346923828125,0.39997100830078125,439.1519470214844,-430.8002624511719,0.7022188305854797,329,11955.976180553436,1249.2902738393473,1000.0,3.6791865825653076,0.6875166296958923,170.56179809570312,0.6725574135780334,1.0,1764.8926964896436,329.0,3.6789464950561523,0.17404356598854065,0.22321538627147675,329.0,0.33006182312965393,441.54644775390625,0.1262848824262619,468.56988525390625,356.1463623046875
2166.3425647314834,330000,27.51093302192544,0.018730226766195082,2575.780633606452,330.0,0.0,2.5413103103637695,0.14760583639144897,438.11114501953125,-429.3688659667969,0.7107230424880981,330,11995.231122732162,1250.4846169272028,1000.0,3.8548648357391357,0.729682981967926,224.10107421875,0.6724422574043274,1.0,1760.6635040623732,330.0,3.8602612018585205,0.1742076426744461,0.21089179813861847,330.0,0.23753982782363892,440.73828125,0.12627846002578735,470.99554443359375,356.47491455078125
2162.814189912,331000,27.50336728124737,0.017644720880324885,2105.952073237588,331.0,0.0,2.5424273014068604,0.3051758408546448,436.1280212402344,-429.2336730957031,0.740021824836731,331,12034.890005111694,1252.349578000129,1000.0,3.692246198654175,0.7423339486122131,107.05098724365234,0.6724327206611633,1.0,1758.839311304104,331.0,3.8588812351226807,0.1737203150987625,0.218567356467247,331.0,0.25514283776283264,438.0751953125,0.12623447179794312,467.1892395019531,356.80108642578125
2160.4801041089436,332000,27.50313520503035,0.019106704324195603,2330.6180968460644,332.0,0.0,2.5425500869750977,0.22127611935138702,435.490478515625,-429.42047119140625,0.7610837817192078,332,12071.351048707962,1254.6628535013626,1000.0,4.056684970855713,0.7599735260009766,206.38433837890625,0.6723659634590149,1.0,1755.0345222554483,332.0,4.2929606437683105,0.173722505569458,0.20708336681127548,332.0,0.21982114017009735,437.81976318359375,0.12633825838565826,467.8680114746094,357.12908935546875
2136.5733718307047,333000,27.500699187267166,0.017999379770019416,59.87322800764353,333.0,0.0,2.5421314239501953,0.24522674083709717,436.29351806640625,-430.93121337890625,0.7743903398513794,333,12108.783043384552,1256.4875380427522,1000.0,4.084889888763428,0.7793807983398438,161.91188049316406,0.6724146008491516,1.0,1760.6399226445242,333.0,3.8624067306518555,0.17363400757312775,0.21311717480421066,333.0,0.24013936519622803,438.6339111328125,0.12641628086566925,210.09461975097656,357.4539489746094
