eval/return,eval/Q,obs_rms_std,reference_action_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,total/steps,train/loss_actor,reference_perturbed_action_mean,total/duration,rollout/episode_steps,reference_perturbed_action_std,reference_action_mean,ret_rms_std,rollout/return,rollout/actions_mean,train/param_noise_distance,rollout/episodes,ret_rms_mean,eval/episodes,train/loss_critic,total/steps_per_second,total/episodes,reference_Q_std,reference_Q_mean,obs_rms_mean,reference_actor_Q_std,total/epochs,rollout/actions_std,param_noise_stddev,eval/return_history
-2995.268832472111,-85.9967269897461,0.3155970275402069,0.9663781523704529,-37.9901008605957,-1591.9552795695834,-6.797328472137451,21000,71.54010009765625,-0.25104251503944397,301.4109272956848,788.0384615384615,0.9655534625053406,-0.25224021077156067,1.0,-1591.9552795695834,-0.299576073884964,0.15239353477954865,26.0,0.0,21.0,5.989696502685547,69.67232471767339,26.0,3.7679476737976074,-6.788619041442871,0.024405214935541153,4.797567367553711,21,0.8184700608253479,0.016294603698363365,-2085.099833643454
-2993.9844048484165,-98.13545989990234,0.3116784393787384,0.9662748575210571,-40.45692443847656,-1643.5869956291508,-7.1970415115356445,22000,79.85847473144531,-0.25549980998039246,316.51796436309814,795.8888888888889,0.9616745710372925,-0.2520671486854553,1.0,-1643.5869956291508,-0.29736971855163574,0.1971849650144577,27.0,0.0,22.0,4.621480941772461,69.5063234223331,27.0,5.252336502075195,-7.732249736785889,0.02507205121219158,6.307581424713135,22,0.8258092999458313,0.017297050171870294,-2126.412768698225
-2975.662199912973,-109.1318359375,0.3078334927558899,0.9646837711334229,-43.185386657714844,-1691.82753311047,-10.036788940429688,23000,90.06524658203125,-0.27447494864463806,331.6978106498718,803.1785714285714,0.9393969178199768,-0.2511298954486847,1.0,-1691.82753311047,-0.29534709453582764,0.1982249617576599,28.0,0.0,23.0,3.518843412399292,69.34022252042527,28.0,6.064563274383545,-9.664144515991211,0.025695350021123886,7.214667320251465,23,0.8323363065719604,0.019106704324195603,-2163.3366570119097
-1890.224643373212,-101.86988830566406,0.3153253495693207,0.989922046661377,-45.840911865234375,-1735.4487396025024,-15.233423233032227,24000,94.21932983398438,-0.3155079483985901,344.9038121700287,809.9655172413793,0.9211834669113159,-0.11039799451828003,1.0,-1735.4487396025024,-0.295922189950943,0.4018033444881439,29.0,0.0,24.0,8.73078441619873,69.58461795188457,29.0,3.527039051055908,-15.11903190612793,0.025256343185901642,3.2176289558410645,24,0.8366596102714539,0.01662212523270047,-2151.956989776964
-2531.490996656233,-100.63753509521484,0.33537936210632324,0.9921867847442627,-48.203208923339844,-1769.7794881449804,-14.449701309204102,25000,97.05279541015625,-0.07762166857719421,359.392386674881,816.3,0.9927629232406616,-0.10883806645870209,1.0,-1769.7794881449804,-0.29825496673583984,0.32251229882240295,30.0,0.0,25.0,20.06412124633789,69.56185196715333,30.0,3.7361717224121094,-16.037534713745117,0.024078859016299248,3.187124729156494,25,0.8399118185043335,0.013896384493189945,-2167.1383500521347
-2090.333105018277,-117.61438751220703,0.34365612268447876,0.9926977157592773,-50.0987663269043,-1806.7557498034805,-10.093542098999023,26000,104.02340698242188,-0.17367282509803772,373.0780620574951,822.2258064516129,0.9817322492599487,-0.1101643294095993,1.0,-1806.7557498034805,-0.30286309123039246,0.2719191908836365,31.0,0.0,26.0,21.038469314575195,69.6905088887085,31.0,4.293406963348389,-10.917654991149902,0.023703869432210922,4.002687454223633,26,0.8426205515861511,0.01161761804096316,-2164.184302166217
-2984.526088728907,-128.40682983398438,0.3486647605895996,0.9914909601211548,-52.19025802612305,-1843.4281204820404,-10.623842239379883,27000,111.90894317626953,-0.10821698606014252,388.4551696777344,827.78125,0.9927327632904053,-0.12354247272014618,1.0,-1843.4281204820404,-0.30659180879592896,0.22494742274284363,32.0,0.0,27.0,19.561233520507812,69.50609003968057,32.0,5.5398077964782715,-11.46491813659668,0.023383546620607376,5.867257118225098,27,0.8454164862632751,0.009907751681525063,-2194.5673312981685
-1913.0547468704303,-134.89547729492188,0.3597189486026764,0.9987449645996094,-55.02448272705078,-1877.9834470066862,-10.119787216186523,28000,117.56436157226562,-0.1704157143831253,401.78416109085083,833.0,0.9828091859817505,-0.0012581050395965576,1.0,-1877.9834470066862,-0.30842456221580505,0.31743091344833374,33.0,0.0,28.0,18.014537811279297,69.68915828831959,33.0,4.4136834144592285,-11.426512718200684,0.022534092888236046,4.4520111083984375,28,0.8486071228981018,0.009149642450409314,-2184.5133104257493
-942.457641655453,-117.87566375732422,0.37555599212646484,0.9996997117996216,-57.77225112915039,-1858.722429518749,-13.531421661376953,29000,120.12677764892578,-0.0007018819451332092,413.48295426368713,815.1428571428571,0.9992906451225281,-0.0002952367067337036,1.0,-1858.722429518749,-0.30354321002960205,0.17670921981334686,35.0,0.0,29.0,40.833290100097656,70.13590209937908,35.0,6.932610034942627,-12.062490463256836,0.02211185172200203,7.8742756843566895,29,0.8539742827415466,0.007649259507199841,-2141.683804606084
-2466.120038420472,-132.39576721191406,0.3888295292854309,0.9997807145118713,-60.625064849853516,-1849.5928849880067,-15.175251960754395,30000,125.3176498413086,-0.00021287798881530762,428.05111265182495,801.7027027027027,0.9997812509536743,-0.00021432340145111084,1.0,-1849.5928849880067,-0.2934437394142151,0.21645084023475647,37.0,0.0,30.0,11.970191955566406,70.08508823665149,37.0,9.357120513916016,-15.099090576171875,0.021775778383016586,9.335356712341309,30,0.8609392046928406,0.006654572515946094,-2152.49834573323
