rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,rollout/Q_mean,eval/return,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
31.0,81.70587921142578,91.49979400634766,31.0,31000,31.0,0.5000489950180054,558.4189033508301,0.03304373100399971,3.4383957386016846,0.07311896234750748,0.07408004999160767,1000.0,10.104998588562012,46.42021560668945,-88.13511282138138,-35.25578655289959,31,0.0,10.144681930541992,0.5948789715766907,1.7393008470535278,-83.35160827636719,90.51539413590716,-35.25578655289959,55.513880017281686,80.98478698730469,0.0,1.0
32.0,84.81008911132812,102.21316528320312,32.0,32000,32.0,0.5475419163703918,576.3494567871094,-0.2619413435459137,6.839726448059082,0.06356680393218994,0.07221180945634842,1000.0,10.348368644714355,47.711063385009766,329.14208966162806,-34.50420801786075,32,0.0,10.22529411315918,0.5972002744674683,1.7447044849395752,-86.16410064697266,97.97247837108594,-34.50420801786075,55.52187066920423,84.10084533691406,0.0,1.0
33.0,86.7341537475586,104.24960327148438,33.0,33000,33.0,0.5554224252700806,594.2396204471588,-0.17901670932769775,7.474485874176025,0.05802290514111519,0.069045290350914,1000.0,10.571621894836426,49.37028884887695,278.7617880809412,-31.29246549590902,33,0.0,10.631951332092285,0.5944688320159912,1.734739899635315,-89.04574584960938,103.45094230168762,-31.29246549590902,55.53315340227207,86.1068115234375,0.0,1.0
34.0,87.70372772216797,106.6594467163086,34.0,34000,34.0,0.5309945344924927,612.0634348392487,-0.23325103521347046,4.372036457061768,0.05551623925566673,0.06701577454805374,1000.0,11.00642204284668,50.96401596069336,432.51435383839635,-24.79006556894467,34,0.0,11.010063171386719,0.5920125246047974,1.7328356504440308,-91.41534423828125,113.12927793512023,-24.79006556894467,55.54979772469124,86.94622802734375,0.0,1.0
35.0,89.93419647216797,106.21634674072266,35.0,35000,35.0,0.4424078166484833,629.9798707962036,-0.061276212334632874,7.764639377593994,0.05352332442998886,0.06515928357839584,1000.0,10.781352043151855,52.53654098510742,236.17240754687396,-17.097345307220564,35,0.0,10.673184394836426,0.5905232429504395,1.7270265817642212,-93.7959976196289,116.64479592402746,-17.097345307220564,55.55733067433576,89.36761474609375,0.0,1.0
36.0,91.2873764038086,111.37226104736328,36.0,36000,36.0,0.3885663151741028,647.9826147556305,-0.036916766315698624,8.397775650024414,0.04888778552412987,0.06289857625961304,1000.0,11.419465065002441,54.111576080322266,684.5186610028734,-7.014502929781577,36,0.0,11.218761444091797,0.5876184105873108,1.7205321788787842,-96.55228424072266,132.4190699539954,-7.014502929781577,55.557046100035336,90.41805267333984,0.0,1.0
37.0,92.55369567871094,112.87732696533203,37.0,37000,37.0,0.43571460247039795,665.9973950386047,-0.04889879748225212,7.3944926261901855,0.046020474284887314,0.06258562207221985,1000.0,11.292997360229492,55.285945892333984,692.9942854989421,-3.9721115281767254,37,0.0,11.035652160644531,0.5869508981704712,1.7231327295303345,-97.72649383544922,147.5697514552102,-3.9721115281767254,55.55577285381917,91.73402404785156,0.0,1.0
38.0,94.11015319824219,113.83114624023438,38.0,38000,38.0,0.431622713804245,683.9505324363708,-0.06054985150694847,11.455214500427246,0.041248973459005356,0.06070660054683685,1000.0,10.995521545410156,56.79882049560547,410.1764505872346,7.948639601571678,38,0.0,11.183408737182617,0.5883998274803162,1.7205435037612915,-99.787353515625,154.48045406394766,7.948639601571678,55.55957367945351,93.40847778320312,0.0,1.0
39.0,97.99159240722656,112.06075286865234,39.0,39000,39.0,0.5635467171669006,701.9625225067139,0.2237568348646164,15.225937843322754,0.04543609172105789,0.06217005103826523,1000.0,10.088377952575684,57.67123794555664,42.109813116910814,3.5415386953904644,39,0.0,9.604742050170898,0.5897652506828308,1.7295618057250977,-101.86952209472656,151.59915557812622,3.5415386953904644,55.55852164404829,96.54428100585938,0.0,1.0
40.0,99.84119415283203,116.29094696044922,40.0,40000,40.0,0.48984411358833313,719.9331359863281,0.28036126494407654,8.567167282104492,0.042030323296785355,0.06035608425736427,1000.0,9.531659126281738,59.095314025878906,204.22496794417663,7.487530247945256,40,0.0,9.397195816040039,0.588347852230072,1.7288556098937988,-104.72645568847656,152.91480088727747,7.487530247945256,55.560715295037646,98.9874496459961,0.0,1.0
