eval/episodes,ret_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episode_steps,total/duration,total/steps_per_second,reference_Q_std,rollout/actions_mean,total/epochs,rollout/episodes,rollout/actions_std,total/steps,reference_actor_Q_mean,ret_rms_std,eval/Q,rollout/return_history,rollout/return,train/loss_actor,reference_action_std,reference_action_mean,rollout/Q_mean,reference_Q_mean,obs_rms_mean,eval/return_history,eval/return,train/param_noise_distance,total/episodes,obs_rms_std
31.0,0.0,14.823476791381836,18.80734634399414,1000.0,563.1077291965485,55.051632916194066,14.888975143432617,-0.07360080629587173,31,31.0,0.6287258863449097,31000,158.20851135253906,1.0,190.0405731201172,283.8561199247623,283.8561199247623,-173.1116943359375,0.7624198794364929,0.1588354855775833,90.275390625,156.70733642578125,0.035656243562698364,583.0139837041553,1734.5807344432517,0.0,31.0,2.091989755630493
32.0,0.0,11.977156639099121,23.110300064086914,1000.0,581.073650598526,55.070471646819456,12.80827522277832,-0.07222899794578552,32,32.0,0.6306580901145935,32000,161.79122924804688,1.0,192.94007873535156,286.97026573011266,286.97026573011266,-176.69329833984375,0.7505635023117065,0.2684263288974762,93.17449951171875,160.10032653808594,0.03530394285917282,611.3644388536528,1490.228548488078,0.0,32.0,2.0881245136260986
33.0,0.0,12.593623161315918,18.692516326904297,1000.0,599.025199174881,55.0895021535912,13.1035795211792,-0.07093299180269241,33,33.0,0.6307267546653748,33000,165.1232147216797,1.0,195.16580200195312,305.6346819574465,305.6346819574465,-181.19801330566406,0.7989410758018494,0.10439320653676987,96.11605072021484,163.2867431640625,0.03560500964522362,641.5331539839387,1606.9320381530904,0.0,33.0,2.101806879043579
34.0,0.0,11.950019836425781,21.321426391601562,1000.0,617.155083656311,55.09150114841206,11.66457748413086,-0.07218435406684875,34,34.0,0.6323890686035156,34000,169.85736083984375,1.0,194.8783721923828,329.5117465686116,329.5117465686116,-186.3728485107422,0.7982283234596252,0.17419636249542236,99.06378173828125,168.03482055664062,0.03559563308954239,650.2254718016779,937.0719597870705,0.0,34.0,2.1065499782562256
35.0,0.0,11.73729133605957,17.04728889465332,1000.0,635.2422943115234,55.09708706964018,13.47385025024414,-0.07170603424310684,35,35.0,0.6333088874816895,35000,173.2908935546875,1.0,201.08714294433594,349.23837078374135,349.23837078374135,-190.6310577392578,0.7670172452926636,0.18052591383457184,101.9219741821289,171.25575256347656,0.03564082086086273,679.901827805022,1688.8979319187201,0.0,35.0,2.117434024810791
36.0,0.0,10.097285270690918,31.710914611816406,1000.0,653.4599523544312,55.09136385526179,10.375279426574707,-0.07080774009227753,36,36.0,0.6352964043617249,36000,178.7309112548828,1.0,198.49984741210938,357.1642341522724,357.1642341522724,-194.89532470703125,0.7300563454627991,0.0399077944457531,104.5632553100586,176.85848999023438,0.036171961575746536,703.3921093630834,1525.5519638952305,0.0,36.0,2.125642776489258
37.0,0.0,7.40746545791626,39.83356475830078,1000.0,671.5126843452454,55.099480415737254,7.783289432525635,-0.07385795563459396,37,37.0,0.6361552476882935,37000,181.92623901367188,1.0,211.24240112304688,378.7871378702819,378.7871378702819,-198.29913330078125,0.7523950934410095,-0.17238520085811615,107.36555480957031,179.9959259033203,0.03610990196466446,721.8171848600033,1385.1199027491193,0.0,37.0,2.130311965942383
38.0,0.0,6.982295989990234,31.240198135375977,1000.0,689.6961522102356,55.09672611369986,6.935476779937744,-0.07513432204723358,38,38.0,0.6379087567329407,38000,188.92611694335938,1.0,190.4434814453125,391.27196232037613,391.27196232037613,-203.17263793945312,0.8015771508216858,-0.2169751524925232,109.91661071777344,186.94039916992188,0.03668002411723137,705.0012300034803,82.81090031212979,0.0,38.0,2.1511778831481934
39.0,0.0,8.0792875289917,28.546770095825195,1000.0,707.785325050354,55.10145325099163,7.8611650466918945,-0.07667598128318787,39,39.0,0.641201376914978,39000,190.3588104248047,1.0,221.49334716796875,378.29080037647554,378.29080037647554,-205.83251953125,0.7666229605674744,-0.17683224380016327,111.8028335571289,188.860595703125,0.03973996266722679,723.1839329164319,1414.1266436085937,0.0,39.0,2.1708168983459473
40.0,0.0,8.684566497802734,42.189205169677734,1000.0,725.9503133296967,55.10018973135101,8.541019439697266,-0.07435198873281479,40,40.0,0.6423693895339966,40000,192.730712890625,1.0,200.2361602783203,389.7064083253957,389.7064083253957,-209.44976806640625,0.7730926275253296,-0.17407353222370148,114.30235290527344,190.72927856445312,0.04058341681957245,718.8714016337435,550.6826816088935,0.0,40.0,2.1816258430480957
