total/episodes,train/param_noise_distance,rollout/episode_steps,rollout/Q_mean,total/epochs,eval/return,total/steps,eval/return_history,rollout/actions_mean,reference_Q_std,ret_rms_mean,ret_rms_std,rollout/episodes,train/loss_actor,eval/episodes,reference_action_mean,reference_action_std,reference_actor_Q_std,rollout/actions_std,obs_rms_std,reference_actor_Q_mean,eval/Q,rollout/return,obs_rms_mean,total/steps_per_second,reference_Q_mean,rollout/return_history,train/loss_critic,total/duration
876.0,0.0,1000.0,319.57293701171875,876,2939.022219675655,876000,2720.8058460919583,-0.04310237616300583,113.15324401855469,0.0,1.0,876.0,-455.03961181640625,876.0,-0.05597992613911629,0.7833138108253479,113.64298248291016,0.6623184084892273,2.204763412475586,399.27764892578125,492.9945983886719,1170.1027597781158,0.09299987554550171,81.82242538220311,396.481201171875,2043.23850946106,158.7732391357422,10706.111385822296
877.0,0.0,1000.0,319.76483154296875,877,2607.870792999388,877000,2720.446946823926,-0.04310110583901405,112.9646987915039,0.0,1.0,877.0,-454.571044921875,877.0,-0.22397065162658691,0.7375310659408569,113.77306365966797,0.6623618602752686,2.204958915710449,399.50958251953125,461.2148132324219,1171.7307921483946,0.0931040495634079,81.81863973115186,395.62847900390625,2052.021634877834,78.27432250976562,10718.82889866829
878.0,0.0,1000.0,319.94366455078125,878,2843.3327882314097,878000,2721.2103165198905,-0.043036505579948425,112.66300964355469,0.0,1.0,878.0,-456.2720642089844,878.0,-0.29994404315948486,0.7101331353187561,113.00902557373047,0.6623649597167969,2.205613136291504,400.5364685058594,487.94580078125,1172.7856996978192,0.09318413585424423,81.81494052989552,397.84210205078125,2063.8372499140655,559.77587890625,10731.536248922348
879.0,0.0,1000.0,320.1313171386719,879,2560.9312774730274,879000,2717.9420880407456,-0.04304032027721405,114.78665161132812,0.0,1.0,879.0,-457.0655517578125,879.0,-0.29110708832740784,0.7371835708618164,115.45634460449219,0.662426769733429,2.2060177326202393,396.97210693359375,486.69525146484375,1174.2989614756852,0.09328378736972809,81.81043318579728,393.5578918457031,2066.466240097836,148.59005737304688,10744.350882530212
880.0,0.0,1000.0,320.31097412109375,880,3379.228505160593,880000,2725.952631071636,-0.04307873919606209,117.70965576171875,0.0,1.0,880.0,-459.244384765625,880.0,-0.2398819476366043,0.7558289170265198,118.00178527832031,0.6624654531478882,2.2065224647521973,396.7242736816406,499.5329895019531,1175.3031861365246,0.0933544933795929,81.80665450891789,392.5621337890625,2064.404527464261,153.28005981445312,10757.071112155914
881.0,0.0,1000.0,320.50543212890625,881,2609.5488093771464,881000,2725.8205544651014,-0.04309592396020889,120.07456970214844,0.0,1.0,881.0,-458.28631591796875,881.0,-0.25508299469947815,0.6952869296073914,119.78523254394531,0.6624026894569397,2.206341505050659,395.97918701171875,495.66949462890625,1176.5867217808916,0.09338799864053726,81.80318703219265,392.50885009765625,2067.7254497735144,154.06045532226562,10769.751545906067
882.0,0.0,1000.0,320.6995849609375,882,2889.360115658979,882000,2727.9733391285145,-0.043209828436374664,119.9356918334961,0.0,1.0,882.0,-455.2911071777344,882.0,-0.13671357929706573,0.7416077852249146,120.22232818603516,0.6624356508255005,2.2061049938201904,394.4342041015625,498.1264953613281,1177.8089985539889,0.09340952336788177,81.79989277133244,390.6855773925781,2063.2661755750796,285.4378356933594,10782.410222291946
883.0,0.0,1000.0,320.89080810546875,883,2912.9191255202927,883000,2727.319162161695,-0.0433463454246521,122.14759826660156,0.0,1.0,883.0,-458.7621154785156,883.0,-0.20987756550312042,0.739405632019043,123.91243743896484,0.6624532341957092,2.2063028812408447,395.6719665527344,498.947509765625,1179.0177936525126,0.09345148503780365,81.79579593815212,392.5086364746094,2066.7670908719124,221.2136688232422,10795.175838470459
884.0,0.0,1000.0,321.09088134765625,884,2979.840511854701,884000,2726.460880658886,-0.04343685880303383,121.68924713134766,0.0,1.0,884.0,-461.20880126953125,884.0,-0.1469724178314209,0.7585983276367188,122.63514709472656,0.6625036597251892,2.206509828567505,398.185546875,499.4652099609375,1180.9974156908281,0.09354887902736664,81.79193470399593,394.0521240234375,2074.120550940236,217.2257843017578,10807.911601543427
885.0,0.0,1000.0,321.281982421875,885,2615.023981506517,885000,2725.38223944675,-0.04363049194216728,122.55326843261719,0.0,1.0,885.0,-461.8060302734375,885.0,-0.14660920202732086,0.7804477214813232,123.04136657714844,0.6625640392303467,2.206604480743408,397.96649169921875,496.8865051269531,1182.073572088004,0.09357775747776031,81.78820942473376,394.5489501953125,2071.775898845322,165.7709197998047,10820.630580186844
